"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1538","LJP007 HCC515 24H-ibrutinib-3.33","17/68",7.77782210909753e-07,1.63030838200966e-05,0,0,4.98612223111823,70.1388803656416,"SERPINA1;RGS13;TNNC1;COL11A1;PLEKHB1;HBB;CYP4B1;DEFB1;MSLN;CLU;WFDC2;ACTA1;PAX8;SLPI;SCNN1A;KRT14;CRYAB",17.6470588235294,3,0,0,100,17
"1539","LJP005 A549 24H-withaferin-a-0.04","24/124",7.88143518099347e-07,1.65095326422916e-05,0,0,3.6007729468599,50.6037709576621,"CA12;ST6GALNAC2;TPM2;PLEKHB1;VWA5A;HBB;KRT23;KCNJ16;KRT5;CLU;CXCL14;RHOB;MFAP5;EFEMP1;KRT17;KRT15;MYO6;KRT14;EFHD1;TIMP3;E2F2;CGA;CRYAB;SULT1A2",8.33333333333333,2,0,0,100,24
"1540","LJP007 A375 24H-ibrutinib-10","21/99",7.94927761659204e-07,1.66408319353048e-05,0,0,4.03435279579858,56.6625438873083,"SVIL;CRABP2;SERPINF1;GSTP1;QPRT;AHNAK2;HP;FN1;CYBA;C14ORF132;NAV2;RNASE1;EFEMP2;KRT19;CEACAM6;DPYSL3;CHI3L1;NEFM;TNS1;CES1;SULT1A2",14.2857142857143,3,0,0,95.2380952380952,20
"1541","LJP005 HS578T 24H-trametinib-10","20/91",7.97534206179866e-07,1.66737404272546e-05,0,0,4.2192480727059,59.2455891219022,"GPX3;ATP2B4;WFDC1;ATP10B;ENO2;ATP1B1;REEP1;TOX3;ACTC1;CEACAM6;PALLD;CEACAM5;DPYSL3;SCNN1A;DDIT4;ME1;TFF3;NEFL;MIR22HG;CRYAB",10,2,0,0,100,20
"1542","LJP006 MDAMB231 24H-geldanamycin-1.11","20/91",7.97534206179866e-07,1.66737404272546e-05,0,0,4.2192480727059,59.2455891219022,"EGFL6;BEX1;KRT4;CRABP2;QPRT;KIF14;HSPB1;DEFB1;CLU;ASS1;GJA1;GPRC5B;SLPI;DDIT4;EFHD1;KIF20A;MYL9;CRYAB;TNS1;HOXC6",20,4,0,0,100,20
"1543","LJP005 HS578T 3H-AZD-8330-0.04","15/54",8.02490280386574e-07,1.67556228362062e-05,0,0,5.74770952468794,80.6722419668608,"SPON2;ABCC4;PTGIS;GPX3;ADH1B;FHL1;PLA2G2A;KRT7;AKR1C2;ASS1;TGFBR3;PTP4A3;DDIT4;ID3;VGLL1",26.6666666666667,4,0,0,100,15
"1544","LJP007 HT29 24H-XMD-885-1.11","15/54",8.02490280386574e-07,1.67556228362062e-05,0,0,5.74770952468794,80.6722419668608,"SPINK2;SERPINB1;SLC24A3;RGS13;HSPB8;SHOX2;CAPG;C14ORF132;OLFM4;COX7A1;VSNL1;PALLD;NEFL;SPOCK1;MXRA7",6.66666666666667,1,0,0,93.3333333333333,14
"1545","LJP006 PC3 24H-GSK-2126458-0.12","30/178",8.03307074412921e-07,1.67618210128956e-05,0,0,3.04808449225925,42.7784295521769,"ITIH5;ST6GALNAC2;HPGD;KRT23;GATA3;RND3;EFEMP2;NT5E;FLRT3;PDGFD;CHN2;PLS3;AOX1;PDLIM5;DUSP4;ABCC3;GSTM2;SERPINB1;CAV2;GPX3;CDKN2A;ETV1;ACSF2;KRT19;KRT17;CEACAM6;S100P;MXRA7;TRIB1;MYL9",20,6,3.33333333333333,1,100,30
"1546","LJP005 HA1E 24H-TWS-119-1.11","16/61",8.13094714876462e-07,1.690041741985e-05,0,0,5.31598222222222,74.5429260430266,"NDRG4;TPM2;AHNAK2;AKR1B1;SOX11;CAPG;SORBS1;PNMA2;REEP1;GATM;CSRP1;SLPI;TMSB15A;DPYSL3;NEFL;CHI3L1",6.25,1,0,0,100,16
"1547","LJP005 HA1E 24H-PIK-93-3.33","16/61",8.13094714876462e-07,1.690041741985e-05,0,0,5.31598222222222,74.5429260430266,"KANK2;CFD;BCHE;SPINK2;MME;CDKN2A;CALML3;ETV1;CXCL14;LYVE1;NELL2;CLEC3B;DMBT1;CPS1;TMSB15A;ITGBL1",12.5,2,6.25,1,100,16
