"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
10,"vorinostat homo sapiens gpl571 gse18544 chdir down",39,3,0,3,1,0.0413852790639442,1
10,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",39,3,0,2,0,NA,NA
10,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",39,3,0,3,0,NA,NA
10,"deferasirox homo sapiens gpl570 gds3558 chdir down",39,3,0,3,1,NA,NA
15,"prednisolone homo sapiens gpl570 gse32962 chdir down",91,4,0,18,3,3.97000156869028e-08,9.23687031648605e-06
15,"ethanol homo sapiens gpl96 gds2767 chdir down",91,4,0,7,1,0.00301780671557161,0.100306147022332
15,"tocilizumab homo sapiens gpl6244 gse25160 chdir down",91,4,0,4,0,0.00855330908882985,0.213221776571544
15,"doxorubicin mus musculus gpl8321 gse17115 chdir down",91,4,0,3,0,0.022846937450436,0.408901598471907
15,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",91,4,0,10,0,2.16531304095543e-06,0.000251898083764482
15,"celecoxib homo sapiens gpl8300 gse11237 chdir down",91,4,0,5,0,0.000612921755076753,0.0285212923362383
15,"letrozole homo sapiens gpl3921 gse33366 chdir down",91,4,0,1,0,NA,NA
15,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",91,4,0,1,0,NA,NA
15,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",91,4,0,1,0,NA,NA
15,"enzalutamide homo sapiens gpl570 gse44905 chdir down",91,4,0,10,0,0.000655798245006433,0.0269263044126171
15,"imatinib homo sapiens gpl201 gds838 chdir down",91,4,0,3,0,0.0332553468187703,0.527550729079584
15,"valproic acid mus musculus gpl6885 gse41020 chdir down",91,4,0,3,1,NA,NA
15,"vorinostat homo sapiens gpl6884 gse46703 chdir down",91,4,0,3,0,0.000583571530503767,0.0290952091636878
15,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",91,4,0,3,0,0.00665631976140118,0.172078192350297
15,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",91,4,0,3,0,0.0101523443652527,0.228591495707949
15,"dexamethasone homo sapiens gpl570 gse37474 chdir down",91,4,0,3,0,NA,NA
15,"tamoxifen homo sapiens gpl3921 gse33366 chdir down",91,4,0,2,0,NA,NA
15,"valproic acid homo sapiens gpl570 gse14973 chdir down",91,4,0,11,1,9.93167689438304e-06,0.000770256719142152
15,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",91,4,0,4,0,NA,NA
15,"dexamethasone mus musculus gpl339 gse2342 chdir down",91,4,0,5,0,0.00372965361004877,0.11318687912235
15,"celecoxib homo sapiens gpl8300 gds3384 chdir down",91,4,0,2,1,NA,NA
15,"captopril mus musculus gpl1261 gds3683 chdir down",91,4,0,9,0,NA,NA
15,"vorinostat homo sapiens gpl571 gse18544 chdir down",91,4,0,1,0,NA,NA
15,"cyclophosphamide mus musculus gpl13209 gse27440 chdir down",91,4,0,1,0,NA,NA
15,"cyclophosphamide mus musculus gpl13209 gds4004 chdir down",91,4,0,1,0,NA,NA
15,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",91,4,0,2,0,NA,NA
15,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",91,4,0,4,0,NA,NA
15,"estradiol homo sapiens gpl6947 gse27375 chdir down",91,4,0,2,0,NA,NA
15,"deferasirox homo sapiens gpl570 gds3558 chdir down",91,4,0,7,0,NA,NA
19,"prednisolone homo sapiens gpl570 gse32962 chdir down",67,4,0,16,3,9.55400632200297e-08,6.66869641275807e-05
19,"ethanol homo sapiens gpl96 gds2767 chdir down",67,4,0,4,1,0.0206484769749428,0.758559838342634
19,"doxorubicin mus musculus gpl8321 gse17115 chdir down",67,4,0,3,0,0.0101032937624197,0.587674920514077
19,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",67,4,0,5,0,0.0112677732569089,0.491556608332652
19,"celecoxib homo sapiens gpl8300 gse11237 chdir down",67,4,0,2,0,0.0330230723774926,1
19,"letrozole homo sapiens gpl3921 gse33366 chdir down",67,4,0,2,0,NA,NA
19,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",67,4,0,1,1,NA,NA
19,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",67,4,0,1,0,NA,NA
19,"enzalutamide homo sapiens gpl570 gse44905 chdir down",67,4,0,6,0,0.0201158853856711,0.780049333288801
