"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"sirolimus homo sapiens gpl8300 gds3603 chdir up","9/1225",6.94769132924817e-05,0.0484948854781522,0,0,4.73996050032916,45.3828278555808,"P2RX4;TNIP1;ANPEP;PRKCD;PLAUR;TCIRG1;PLEKHO2;BID;OAZ2"
"valproic acid mus musculus gpl6885 gse35291 chdir up","6/498",0.0001002634124715,0.0349919309525535,0,0,7.77302759424796,71.5717816594427,"P2RX4;ANPEP;QPCT;PLAUR;PILRA;PLEKHO2"
"sirolimus homo sapiens gpl2895 gse16944 chdir up","14/3308",0.000177415504213147,0.0412786739802589,0,0,2.73042867730234,23.5827564320833,"PLAUR;TREM1;OAZ2;ZDHHC18;FRAT1;RIT1;FRAT2;P2RX4;TMEM127;ELF4;RPS6KA1;PLEKHO2;BID;BANP"
"prednisolone homo sapiens gpl570 gse32962 chdir down","7/845",0.0002532401710274,0.0441904098442813,0,0,5.34453139912197,44.2589849883728,"ANPEP;PRKCD;PLAUR;RNF19B;TCIRG1;TREM1;BANP"
"arsenic trioxide homo sapiens gpl201 gse48441 chdir up","14/3998",0.00132492925683811,0.1849601242546,0,0,2.25919411318563,14.9703153138647,"NUP214;PRKCD;PLAUR;OAZ2;CYB5R4;RIT1;TNIP1;ELF4;QPCT;RPS6KA1;NUMB;MGAT1;CD58;OSTF1"
"estradiol homo sapiens gpl571 gds4052 chdir up","7/1132",0.0014484425962412,0.168502155362726,0,0,3.98951327937992,26.0805109992874,"NUP214;P2RX4;TNIP1;USP10;AMPD2;OSTF1;PLEKHO2"
"rosiglitazone homo sapiens gpl570 gds2453 chdir down","4/403",0.00332270968309379,0.331321622685638,0,0,6.40358600816457,36.5451030774512,"ANPEP;PLAUR;MGAT1;TCIRG1"
"trovafloxacin homo sapiens gpl96 gse9166 chdir up","12/3831",0.00896874713736385,0.782523187734996,0,0,2.02086543562281,9.52637842766815,"CYB5R4;FRAT1;P2RX4;TNIP1;USP10;PLAUR;TCIRG1;CD58;OSTF1;PILRA;PLEKHO2;OAZ2"
"estradiol homo sapiens gpl96 gse2251 chdir down","2/107",0.0119175782685405,0.924274403493475,0,0,12.0590895387398,53.4186409813291,"RNF19B;TCIRG1"
"celecoxib homo sapiens gpl8300 gds3384 chdir down","3/318",0.0128788834106175,0.898946062061101,0,0,6.08642726719416,26.4891433584061,"RIT1;P2RX4;ANPEP"
"celecoxib homo sapiens gpl8300 gse11237 chdir up","3/321",0.0132067651843264,0.838029281696349,0,0,6.02954476936991,26.0899973874954,"RIT1;P2RX4;ANPEP"
"diethylstilbestrol mus musculus gpl81 gse1839 chdir up","5/930",0.0133591587237605,0.777057732432068,0,0,3.46860908775581,14.9689666411194,"CYB5R4;RIT1;RPS6KA1;TCIRG1;OSTF1"
"dipyridamole mus musculus gpl6246 gse43833 chdir up","2/120",0.0148189746972591,0.795664949129758,0,0,10.752688172043,45.288675755142,"P2RX4;ANPEP"
"vitamin c homo sapiens gpl570 gse11919 chdir up","10/3257",0.0213066149605443,1,0,0,1.98084522665822,7.62375368774571,"ZDHHC18;RIT1;FRAT2;TNIP1;TMEM127;RNF19B;MGAT1;AMPD2;BID;OAZ2"
"estradiol homo sapiens gpl570 gse5102 chdir up","8/2315",0.0218448892372237,1,0,0,2.22949905943008,8.52513238929613,"FRAT2;TNIP1;USP10;ELF4;RPS6KA1;PLAUR;RNF19B;AMPD2"
"tocilizumab homo sapiens gpl6244 gse25160 chdir down","2/176",0.0302980453723306,1,0,0,7.33137829912024,25.6354257896747,"ANPEP;TREM1"
"estradiol homo sapiens gpl570 gse16683 chdir up","5/1195",0.035134324842658,1,0,0,2.69941962478067,9.03921368771271,"P2RX4;ELF4;ANPEP;RNF19B;BID"
"dexamethasone rattus norvegicus gpl1355 gse29912 chdir up","4/820",0.0366589567171718,1,0,0,3.147128245476,10.4047128098121,"ANPEP;PILRA;BID;OAZ2"
"doxorubicin homo sapiens gpl570 gse46493 chdir up","14/5815",0.0416059134046964,1,0,0,1.55326879871301,4.93863829554502,"PRKCD;PLAUR;RNF19B;TCIRG1;FRAT1;FRAT2;TNIP1;TMEM127;ELF4;RPS6KA1;MGAT1;CD58;OSTF1;PLEKHO2"
"morphine mus musculus gpl6246 gse17731 chdir up","3/520",0.0458576849181803,1,0,0,3.72208436724566,11.4722549044601,"CYB5R4;RNF19B;PLEKHO2"
"dactinomycin mus musculus gpl1261 wild type gds2456 chdir up","4/884",0.0462605015720356,1,0,0,2.91928185666326,8.97231580727242,"TMEM127;PRKCD;RNF19B;OSTF1"
"cisplatin mus musculus gpl339 gse6206 chdir up","11/4225",0.0467760661299987,1,0,0,1.67970986829548,5.14391597753107,"CYB5R4;RIT1;USP10;RPS6KA1;PLAUR;NUMB;RNF19B;MGAT1;OSTF1;PILRA;OAZ2"
"cisplatin mus musculus gpl339 gds3099 chdir up","11/4251",0.0486617973414489,1,0,0,1.66943641344352,5.04647423548617,"CYB5R4;RIT1;USP10;RPS6KA1;PLAUR;NUMB;RNF19B;MGAT1;OSTF1;PILRA;OAZ2"
"imatinib homo sapiens gpl96 gds3043 chdir up","13/5369",0.0493553257395683,1,0,0,1.56213387487308,4.700007187696,"USP10;AMPD2;CNPY3;OAZ2;ZDHHC18;CYB5R4;RIT1;TNIP1;RPS6KA1;NUMB;PLEKHO2;BID;APOBEC3A"
