"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"sirolimus homo sapiens gpl8300 gds3603 chdir up","19/1225",1.92530656664436e-08,1.34386398351776e-05,0,0,4.49571132800946,79.8689890887577,"RGS19;BTN3A1;KLRB1;APOBEC3G;HDAC1;SLC20A1;GZMB;NKG7;CST7;CD3D;RUNX3;ARL4C;STK10;GNLY;CD8A;IRF1;LCP2;CD247;CYTH1"
"hydrocortisone homo sapiens gpl201 gse21909 chdir up","18/1270",1.93509318929574e-07,6.75347523064214e-05,0,0,4.10818212940774,63.5040335465668,"B4GALT2;RGS19;KLRB1;APOBEC3G;GZMA;PRF1;GZMB;NKG7;CST7;RASGRP1;CD2;KLRK1;BIN2;GNLY;LCK;CCL5;CD247;IL7R"
"vorinostat homo sapiens gpl6884 gse46703 chdir down","4/36",7.03007501212894e-06,0.00163566411948867,0,0,32.2061191626409,382.135690238648,"CX3CR1;GNLY;CCL5;IL7R"
"dexamethasone homo sapiens gpl570 gse37474 chdir up","7/240",1.88108932440624e-05,0.00328250087108889,0,0,8.45410628019324,91.9897596574802,"CD2;CCL5;GZMA;TRAC;CST7;IL7R;CD3D"
"valproic acid homo sapiens gpl570 gse14973 chdir down","9/473",3.45376746632877e-05,0.00482145938299496,0,0,5.51521279529369,56.6603169989181,"DENND2D;IL2RB;ICAM2;GZMB;BTN3A2;ITGAL;CST7;RASGRP1;ADCY7"
"pioglitazone mus musculus gpl6246 gse37533 chdir up","4/62",6.22326941636189e-05,0.00723973675436766,0,0,18.700327255727,181.105751597454,"DGKA;IL2RB;GIMAP4;IL7R"
"pioglitazone mus musculus gpl6246 gse37534 chdir up","4/75",0.000131101989678163,0.0130727412564797,0,0,15.4589371980676,138.195709998256,"IL2RB;PRF1;GIMAP4;ARHGAP15"
"dexamethasone rattus norvegicus gpl1355 gse29912 chdir up","10/820",0.000482495663145209,0.0420977466094195,0,0,3.53481795687522,26.9937738618795,"STK10;BIN2;IRF1;CCL5;FGL2;ICAM2;PRF1;EVL;ITGAL;TNFRSF1B"
"arsenic trioxide homo sapiens gpl201 gse48441 chdir up","26/3998",0.000505550581132088,0.039208256181133,0,0,1.88500047125012,14.3068943193332,"SELPLG;HDAC1;DGKA;ICAM2;PRF1;CD3E;CST7;RASGRP1;ADCY7;STK10;KLRK1;CCL5;CCR7;PRKCH;USP4;GZMA;GZMB;TNFRSF1B;RUNX3;PLSCR3;BIN2;LCK;CD8A;IL2RB;ARHGEF3;CD247"
"prednisolone homo sapiens gpl570 gse32962 chdir down","10/845",0.00060956929096208,0.0425479365091532,0,0,3.43023754394992,25.3932181822455,"SELPLG;BIN2;CCL5;GZMA;FGL2;NKG7;LCP2;TNFRSF1B;CST7;TARP"
