"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"hydrocortisone homo sapiens gpl201 gse21909 chdir up","11/1270",5.64561050513608e-05,0.0394063613258498,0,0,4.02856619666728,39.4076243759476,"SERPINB10;LAMP5;SPIB;CAMK4;ZBTB32;CD226;PTPRCAP;MLLT3;FCGR2B;IL18R1;CDK5R1"
"dexamethasone mus musculus gpl339 gse2342 chdir down","5/226",0.000119572981350318,0.0417309704912609,0,0,10.2901831652603,92.9366500351004,"BLK;PDE4B;LTA;LGALS9;FCGR2B"
"prednisolone homo sapiens gpl570 gse32962 chdir down","6/845",0.00896736665339495,1,0,0,3.30260079812853,15.5689992084382,"IL21R;MLLT3;SLC15A3;IPCEF1;FCGR2B;GAS7"
"enzalutamide homo sapiens gpl570 gse44905 chdir down","5/640",0.0116548854027905,1,0,0,3.63372093023256,16.1774340079693,"IFNA2;TLR7;TSPAN3;PTPRCAP;IKZF2"
"prednisolone homo sapiens gpl570 gse32962 chdir up","4/430",0.0134273212898912,1,0,0,4.32666306111412,18.6499242640767,"CAMK4;CCR6;TNIK;IKZF3"
"trastuzumab homo sapiens gpl570 gse15043 chdir down","5/677",0.0145755025479047,1,0,0,3.4351276149909,14.5251384947591,"GNG7;PDE4B;PTPRCAP;TNIK;NCALD"
"dexamethasone homo sapiens gpl570 gse33135 chdir up","3/257",0.0177325361516401,1,0,0,5.42937290742919,21.8931542457768,"IKZF2;IL18R1;CDK5R1"
"ursodeoxycholic acid mus musculus gpl8321 gds4372 chdir down","2/95",0.0177664394055573,1,0,0,9.79192166462668,39.4657921957631,"RTP4;LGALS9"
"valproic acid homo sapiens gpl570 gse14973 chdir down","4/473",0.0184229639130081,1,0,0,3.93333005555829,15.7103391662117,"RTP4;PDE4B;CCR6;IKZF3"
"imatinib homo sapiens gpl201 gds838 chdir up","3/275",0.0211725667949649,1,0,0,5.07399577167019,19.5605020940818,"SPIB;IFNA2;GAS7"
"pioglitazone rattus norvegicus gpl1355 3 months gds4019 chdir down","2/116",0.0257993022609766,1,0,0,8.01924619085806,29.3296538217198,"S1PR1;GAS7"
"bleomycin mus musculus gpl1261 gse25640 chdir up","5/802",0.0280040297091137,1,0,0,2.89972742562199,10.3677053325394,"BATF3;TLR7;SLC15A3;FCGR2B;GAS7"
"estradiol homo sapiens gpl14550 gse35034 chdir up","4/562",0.032091047106117,1,0,0,3.31043614996276,11.3851798199099,"S1PR1;IL21R;EPHB1;GAS7"
"testosterone rattus norvegicus gpl1355 gse15243 chdir up","2/155",0.0438092998414484,1,0,0,6.00150037509377,18.7721479909396,"BLK;TNFSF11"
"vitamin c mus musculus gpl6246 gse19377 chdir up","2/160",0.0463794116352821,1,0,0,5.81395348837209,17.854067633589,"RTP4;FCGR2B"
"colchicine homo sapiens gpl3386 gds1753 chdir down","2/161",0.0469000268988862,1,0,0,5.77784197602196,17.6786770474826,"LAMP5;PDE4B"
