"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"11","Doxifluridine-1230 mg/kg in CMC-Rat-Bone marrow-1d-dn","90/315",2.38849040725028e-05,0.017101591315912,0,0,1.50020627836327,15.9655911598153,"MDC1;FEN1;POP7;NUP107;NXT1;RPL32;GMFG;CIB1;ATP5G3;MKI67;KIF15;LIMD2;TOMM22;TUBA1B;PPP2R4;CDH1;PSMD2;C1QBP;ADORA3;STMN1;CASP2;KNTC1;MYBL2;GUSB;TMPO;HMGN1;SMARCC1;SUPT16H;RFC3;LIG1;H2AFY;ACTL6A;AKR1A1;SDHB;CKAP5;NME1;CCNA2;TUBB2C;MMP14;INCENP;KIFC1;VDAC2;MCM4;MCM5;DNAJC9;POPDC2;PRPS1;PCNA;NDUFB11;HDAC1;MRPS33;CDCA8;OSGEP;EMG1;SAMM50;RACGAP1;FIP1L1;CHST10;MGAT3;FLNA;MTA2;POLR2I;RBM10;PCK2;MOSC2;RRM1;CDKN2C;SLC16A1;ATAD2;IMMT;NAP1L1;LSM5;SMAD5;EIF2S1;COQ7;GNB2L1;SOD1;COL1A1;POLA2;COPS6;GCLC;PSMC4;PRC1;ANP32E;RGS12;CIAPIN1;CCDC22;BAP1;SOLH;RAN",1.11111111111111,1
"12","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-3d-up","85/295",2.8338597107922e-05,0.0185995659018328,0,0,1.51291989089178,15.8422166110592,"SCARB1;HIP1;GMFG;ELN;ITGB2;HMGB2;CIB1;ARRB2;CTSS;STK10;TUBA1B;TRIM28;RASSF4;PSMD2;ADORA3;SLCO2B1;STMN1;COTL1;SH3BGRL3;CD37;SLC37A4;GUSB;APOBEC1;CD53;LIG1;H2AFY;GPX3;SSR2;PGAM1;AKR1A1;IL18;PSMA5;HCK;TYROBP;MAF;PSMA1;ADAM15;NDUFS7;COL4A1;NPC2;COL6A1;SERPING1;DNAJC9;SLC25A10;LCP1;C1QB;POPDC2;C1QA;CD63;UNC93B1;FGL2;PTTG1IP;AIF1;C2;PSMB7;P2RY6;HLA-DMB;CCL5;UAP1L1;PGK1;FLNA;POLR2G;PLCG1;APOE;TSPAN3;CD14;RANBP1;MOSC2;RRM1;CDKN2C;UBE2B;VDR;HSPA4;PMM2;LAPTM5;LY86;HMGA2;SMAD5;GNB2L1;CXCL11;PRC1;MGP;LCN2;PTPN6;SOLH",3.52941176470588,3
"13","Lomustine-4.2 mg/kg in Corn Oil-Rat-Spleen-3d-dn","97/347",3.06645573579868e-05,0.0185780041347311,0,0,1.46778107061767,15.253772480529,"MDC1;POP7;RNH1;TRAF3IP3;TMEM97;MKI67;LIG1;SDHB;TYROBP;MSH2;BIN1;SNRPB;SP140;CDCA8;PTTG1IP;PRDX1;APOE;TSPAN3;ATP6V1C1;RARRES2;LY86;HMGA2;EIF2S1;GNB2L1;TMEM111;COQ3;POLA2;CXCL12;ANP32E;CYCS;GCLM;CALM2;ACVRL1;NXT1;ELN;HMGB2;ATP5G3;ATP5G1;CTSS;KHK;TUBA1B;PPP2R4;C1QBP;CASP2;ACP5;MYBL2;CD36;CCR5;LBR;RFC3;ANXA1;SSR2;PGAM1;ACTL6A;AKR1A1;TIMM23;MRPS7;CKAP5;PSMA5;CCNA2;TUBB2C;HCK;MMP14;SLC7A7;PSMA1;NDUFS7;KIFC1;MCM4;CD48;IRF5;LCP1;C1QB;C1QA;CD63;PRPS1;RAMP2;PCNA;HDAC1;TIMM13;TYMS;COX5A;AIF1;PSMB7;CCL5;POLR2G;GIT2;RRM1;CDKN2C;SLC16A1;MDH2;ATAD2;SOD1;BCKDK;RPS6KB1;PSMC4;PRC1;CIAPIN1",3.09278350515464,3
"14","Azathioprine-54 mg/kg in Water-Rat-Bone marrow-5d-up","85/298",4.23089023478598e-05,0.0238017796351246,0,0,1.49768915373515,15.0824981475524,"CDKN1C;SPON1;RNH1;GMFG;GBE1;ITGB2;HP;CIB1;PLOD2;LSP1;ARRB2;CTSS;GJA1;CDH1;SMPD1;SLCO2B1;TIMP2;COTL1;SH3BGRL3;CTSF;TPSAB1;CLIC2;LBR;ADAMTS9;GPSM3;CPA3;MAP4K2;ANXA1;PCYT1A;FBXW11;GPX3;SSR2;PGAM1;IL16;PCOLCE;RCN3;HCK;TYROBP;MAF;ADAM15;VDAC2;PPARG;LCP2;LCP1;VAMP4;CD44;C1QB;C1QA;CD63;AHCY;LRP1;PTTG1IP;COX5A;AIF1;C2;INPP5B;OGFRL1;HLA-DMA;HLA-DMB;PRDX1;ALOX5;FLNA;CCL2;APOE;TSPAN3;XDH;ATP6V1C1;MOSC2;VCAM1;LAPTM5;FMO1;NKG7;HMGA2;ZFHX4;COL1A1;FMNL1;FABP4;PTPRC;CXCL12;ALOX5AP;LCN2;PTPN7;CDO1;CALM2;MXD4",1.17647058823529,1
"15","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-3d-up","88/311",4.32199073018528e-05,0.0226933326606262,0,0,1.48573483516363,14.930460399651,"CDKN1C;SPON1;HIP1;CLTA;CIB1;PLOD2;ARRB2;CTSS;LOXL1;CTGF;GJA1;POFUT2;RASSF4;SOX18;CDH1;SMPD1;SLCO2B1;COTL1;ACP5;SH3BGRL3;ACP2;CTSF;CLIC2;ADAMTS9;HMGN1;APOBEC1;CPA3;GPX3;SSR2;AKR1A1;PCOLCE;SDHB;PDGFRL;DUSP7;NME1;RCN3;TYROBP;MAF;COL4A1;NPC2;PPAP2B;FEZ2;COL6A1;SERPING1;PPARG;LCP1;C1QB;C1QA;CD63;ENPEP;RAMP2;LRP1;FGL2;HTRA1;PTTG1IP;HIF1A;AIF1;FBLN5;C2;PRDX1;ESD;MAN1C1;MFN2;ST3GAL6;PLCG1;APOE;TSPAN3;BCAP31;MOSC2;VCAM1;RARRES2;LAPTM5;FMO1;RPL35A;LAMB1;HSPE1;ZFHX4;COL1A1;MFAP5;EHD2;FABP4;CXCL12;COL5A1;NFIB;NEDD4;MGP;FGFR2;MXD4",4.54545454545455,4
"16","Vincristine-0.05 mg/kg in Saline-Rat-Bone marrow-5d-up","84/295",4.99928335214387e-05,0.0246089723009282,0,0,1.49512083335187,14.8071248730246,"RPL32;GMFG;GBE1;ITGB2;HP;LSP1;ARRB2;ATP5G3;BZW2;TOMM22;STK10;TUBA1B;CHCHD3;FGF9;C1QBP;STMN1;COTL1;SH3BGRL3;CD37;CTSF;PGLYRP1;GUSB;GPSM3;HMGN1;CD53;CPA3;ANXA1;H2AFY;SSR2;PGAM1;TMOD3;ATP6AP2;AKR1A1;HMHA1;IL16;SIRT7;PSMA5;HCK;TYROBP;RASA3;VDAC3;ARHGEF3;VDAC2;CD48;LCP2;DNAJC9;LCP1;CD44;SNRPB;C1QB;C1QA;CD63;DNMT1;AHCY;UNC93B1;FGL2;PTTG1IP;COX5A;AIF1;C2;INPP5B;HLA-DMB;PGK1;FLNA;POLR2G;TSPAN3;CD14;BCAP31;MOSC2;MDH2;TNFSF13;LAPTM5;RAB27A;NKG7;GGH;LSM5;HSPE1;GNB2L1;SOD1;CXCL12;LCN2;PTPN6;CALM2;MXD4",3.57142857142857,3
"17","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Spleen-5d-up","85/300",5.49043997200882e-05,0.0254368854232597,0,0,1.48770455937691,14.5942583551818,"RPL32;TRRAP;GMFG;ITGB2;LSP1;ARRB2;ETS1;CTSS;TUBA1B;TRIM28;CDH1;C1QBP;SMPD1;TIMP2;COTL1;ACP5;SH3BGRL3;CLIC2;JAK3;GPSM3;CCT2;ANXA1;H2AFY;GPX3;PGAM1;ANXA5;ATP6AP2;AKR1A1;HMHA1;IL16;ATP1B3;PCOLCE;HCK;IMPACT;TYROBP;MAF;ADAM15;NDUFS7;RASA3;COL4A1;NPC2;PPAP2B;SERPING1;VDAC2;IRF5;LCP1;CD44;C1QB;C1QA;CD63;RAMP2;LRP1;UNC93B1;LTBP4;HTRA1;PTTG1IP;COX5A;AIF1;C2;STIP1;POLD4;HLA-DMA;HLA-DMB;PRDX1;PGK1;FLNA;NUP88;PLCG1;SLC15A3;BCAP31;TRAP1;GIT2;VCAM1;TNFSF13;LAPTM5;GGH;GNB2L1;FMNL1;FABP4;PTPRC;MGP;ALOX5AP;ATP13A2;CORO7;CALM2",3.52941176470588,3
"18","Carmustine-16 mg/kg in Corn Oil-Rat-Spleen-5d-up","78/271",6.15660970524422e-05,0.0269385877991686,0,0,1.51127791141393,14.6524426706205,"OTUD4;HIP1;RPL32;GMFG;ITGB2;ICAM2;CIB1;LSP1;ARRB2;BZW2;CTSS;STK10;TUBA1B;CDH1;C1QBP;SMPD1;SLCO2B1;CASP2;ACP5;SH3BGRL3;ACP2;CLIC2;JAK3;GPSM3;CD53;ANXA1;SP110;PGAM1;ATP6AP2;IL18;IL16;PCOLCE;DUSP7;TYROBP;MAF;NDUFS7;COL4A1;NPC2;VDAC3;SERPING1;VDAC2;C1QB;C1QA;CD63;RAMP2;RTN1;LRP1;NDUFB11;LTBP4;HTRA1;PTTG1IP;HIF1A;AIF1;C2;STIP1;HLA-DMB;CCL5;MAN1C1;FLNA;PLCG1;APOE;XDH;BCAP31;GIT2;MOSC2;VCAM1;RARRES2;LAPTM5;EIF2S1;GNB2L1;CXCL11;FMNL1;CXCL12;MGP;TCF4;PTPN6;CALM2;MXD4",2.56410256410256,2
"19","Pravastatin-1200 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","85/301",6.242392254877e-05,0.0258763586312691,0,0,1.48276201931254,14.3554523943504,"CDKN1C;HSPB6;COL14A1;ELN;CLTA;LSP1;TOMM22;RGS5;TUBA1B;SOX18;C1QBP;ADORA3;SLCO2B1;STMN1;CCR5;SLC37A4;PTRF;DLGAP4;HMGN1;ANXA1;TNFRSF12A;VWF;H2AFY;SSR2;PGAM1;MMP2;ANXA5;AKR1A1;ACSL4;PCOLCE;SDHB;DUSP7;RCN3;TUBB2C;BIN1;COL4A1;NPC2;COL6A1;VDAC3;VDAC2;CDH13;ITGA7;CD48;AHDC1;RAI14;POPDC2;RTN2;CAMK2B;CD63;SMARCD3;TIMM13;LTBP4;MLLT3;COX5A;NID2;PDLIM3;PRDX1;CHST10;MGAT3;PGK1;FLNA;PACSIN3;BCAP31;AOC3;CDKN2C;MDH2;RARRES2;CAV1;HMGA2;PDE4DIP;SMAD5;GNB2L1;TJAP1;COL1A1;MFAP5;EHD2;POLA2;COPS6;CXCL12;COL5A1;COL5A3;CYCS;CALM2;SOLH;MXD4",4.70588235294118,4
"20","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","88/314",6.31739438437658e-05,0.024877899085675,0,0,1.47153991635633,14.229229779357,"CDKN1C;RPL32;GMFG;GBE1;ITGB2;HP;CLTA;ILK;PLOD2;LSP1;ARRB2;CTSS;TMEM93;LIMD2;STK10;GJA1;CDH1;SMPD1;SLCO2B1;TIMP2;COTL1;ACP5;SH3BGRL3;PGLYRP1;TPSAB1;GUSB;JAK3;GPSM3;APOBEC1;CD53;CPA3;CCT2;ANXA1;ANXA2;VWF;SSR2;PGAM1;ATP6AP2;AKR1A1;IL16;PCOLCE;F5;TYROBP;RASA3;COL4A1;NPC2;COL6A1;SERPING1;CD48;LCP1;CD44;SNRPB;C1QB;C1QA;CD63;LRP1;FGL2;PTTG1IP;COX5A;AIF1;C2;HLA-DMB;CCL5;FLNA;APOE;ATP6V1C1;BCAP31;VCAM1;RARRES2;LAPTM5;RAB27A;NKG7;GGH;RPL35A;NAP1L1;COL1A1;EHD2;FMNL1;FABP4;PTPRC;CXCL12;NEDD4;MGP;ALOX5AP;LCN2;PTPN6;RAN;MXD4",4.54545454545455,4
