"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Lomustine-4.2 mg/kg in Corn Oil-Rat-Spleen-3d-dn","68/347",1.41283895977227e-08,0.000111275196471664,0,0,2.01714274696279,36.4600157505742,"ACVRL1;MDC1;POP7;TRAF3IP3;NXT1;ELN;HMGB2;TMEM97;ATP5G3;MKI67;ATP5G1;TUBA1B;CASP2;ACP5;MYBL2;CD36;CCR5;RFC3;ANXA1;LIG1;PGAM1;ACTL6A;TIMM23;MRPS7;SDHB;CKAP5;CCNA2;HCK;SLC7A7;TYROBP;PSMA1;MSH2;KIFC1;MCM4;IRF5;C1QB;C1QA;PRPS1;RAMP2;PCNA;SP140;TIMM13;CDCA8;PTTG1IP;TYMS;COX5A;AIF1;PSMB7;PRDX1;CCL5;HMOX1;APOE;RRM1;CDKN2C;MDH2;RARRES2;ATAD2;LY86;HMGA2;SOD1;BCKDK;COQ3;POLA2;PSMC4;PRC1;ANP32E;CYCS;GCLM",5.88235294117647,4
"2","Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-3d-dn","67/344",2.31612226427565e-08,9.12088947671753e-05,0,0,2.00481154771451,35.2461635815898,"MDC1;POP7;NXT1;ELN;HMGB2;TMEM97;ATP5G3;MKI67;ATP5G1;TUBA1B;CASP2;MYBL2;CD36;CCR5;RFC3;ANXA1;LIG1;PGAM1;ACTL6A;TIMM23;PCOLCE;SDHB;CKAP5;CCNA2;SLC7A7;TYROBP;PSMA1;MSH2;KIFC1;MCM4;DNAJC9;C1QB;C1QA;PRPS1;RAMP2;PCNA;SP140;TIMM13;CDCA8;PTTG1IP;TYMS;COX5A;AIF1;PSMB7;RACGAP1;PRDX1;CCL5;HMOX1;FLNA;MGAT1;APOE;RRM1;CDKN2C;MDH2;RARRES2;ATAD2;LY86;HMGA2;SOD1;BCKDK;COQ3;POLA2;PSMC4;PRC1;ANP32E;CYCS;GCLM",5.97014925373134,4
"3","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-dn","60/310",1.55541910204677e-07,0.000408349361590678,0,0,1.99226337721847,31.231419233921,"MDC1;FEN1;NUP107;NXT1;HMGB2;ATP5G3;MKI67;ATP5G1;KIF15;TUBA1B;STMN1;CASP2;KNTC1;MYBL2;CD36;SEPHS1;POLE;TMPO;SUPT16H;RFC3;LIG1;ACTL6A;TIMM23;CKAP5;CCNA2;MSH2;ESPL1;KIFC1;CCNE1;TFAM;MCM4;MCM5;DNAJC9;PRPS1;DNMT1;AHCY;PCNA;CDCA4;PRIM1;CDCA8;AURKB;RACGAP1;PRDX1;USP1;RBM10;RRM1;CDKN2C;MDH2;ATAD2;HMGA2;IMMT;SOD1;COQ3;POLA2;PRC1;TOLLIP;ANP32E;CYCS;MXD3;RAN",5,3
"4","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Kidney-1d-up","61/330",6.44778758015969e-07,0.00126956937453344,0,0,1.90271214460612,27.1219412024216,"FEN1;NXT1;HMGB2;TMEM97;MKI67;ATP5G1;TUBA1B;CHCHD3;ADORA3;STMN1;KNTC1;CTSD;TMPO;RFC3;ANXA1;TNFRSF12A;LIG1;MMP2;ACTL6A;TIMM23;MRPS7;KMO;CKAP5;CCNA2;PSMA1;KIFC1;UBE2V2;TFAM;SUCLG1;DNAJC9;PRPS1;PCNA;PRIM1;MRPS33;TIMM13;CDCA8;HMMR;AURKB;PSMB7;RACGAP1;PRDX1;PERP;USP1;PGK1;POLR2F;NQO1;RRM1;CDKN2C;MDH2;RARRES2;ATAD2;IMMT;RPL35A;LSM5;ZWINT;SOD1;CXCL11;PRC1;TACC3;MXD3;RAN",3.27868852459016,2
"5","Hydroxyurea-59 mg/kg in Saline-Rat-Bone marrow-1d-dn","60/323",6.69905996288084e-07,0.00105523592535299,0,0,1.91207940228398,27.1823663673887,"MDC1;FEN1;MTCH2;HMGB2;CLTA;MKI67;ATP5G1;TUBA1B;ADORA3;MYBL2;TK1;CD36;SEPHS1;POLE;SUPT16H;RFC3;LIG1;TIMM23;CACYBP;ATP1B3;SDHB;CCNA2;SLC7A7;PSMA1;MSH2;KIFC1;CCNE1;PSME3;MCM4;MCM5;DNAJC9;EEF1E1;ANAPC2;DNMT1;PCNA;MRPL18;PRIM1;TYMS;COX5A;AURKB;PSMB7;STIP1;PRDX1;PGK1;RRM1;CDKN2C;ATAD2;HMGA2;IMMT;RPL35A;NUP153;SOD1;BST1;PRC1;ANP32E;CYCS;GCLM;SOLH;MXD3;RAN",3.33333333333333,2
"6","Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Spleen-3d-dn","61/333",8.84817088520685e-07,0.00116146989819815,0,0,1.88557059375382,26.2808658932481,"MDC1;POP7;NXT1;ELN;HMGB2;ATP5G3;MKI67;ATP5G1;TUBA1B;STMN1;KNTC1;MYBL2;CD36;RFC3;ANXA1;LIG1;PGAM1;ACTL6A;TIMM23;PCOLCE;MRPS7;SDHB;CKAP5;CCNA2;SLC7A7;TYROBP;PSMA1;KIFC1;COL4A1;MCM4;DNAJC9;EEF1E1;C1QA;RAMP2;PCNA;TIMM13;CDCA8;PTTG1IP;TYMS;COX5A;AIF1;PSMB7;STIP1;RACGAP1;PRDX1;HMOX1;FLNA;APOE;RRM1;CDKN2C;RARRES2;ATAD2;SOD1;COQ3;POLA2;PSMC4;PRC1;ANP32E;CYCS;GCLM;MXD3",3.27868852459016,2
"7","Busulfan-9 mg/kg in Corn Oil-Rat-Spleen-3d-dn","62/348",1.89969301416985e-06,0.00213742602565739,0,0,1.83387462213309,24.1591309768873,"MDC1;POP7;NXT1;ELN;HMGB2;ATP5G3;MKI67;ATP5G1;TUBA1B;ADORA3;STMN1;MYBL2;CD36;SUPT16H;RFC3;ANXA1;LIG1;PGAM1;ACTL6A;TIMM23;MRPS7;SDHB;CKAP5;CCNA2;SLC7A7;PSMA1;KIFC1;MCM4;EEF1E1;C1QB;C1QA;PRPS1;RAMP2;PCNA;SP140;TIMM13;CDCA8;PTTG1IP;TYMS;COX5A;AIF1;PSMB7;STIP1;RACGAP1;PSMB2;PRDX1;HMOX1;APOE;RRM1;CDKN2C;RARRES2;ATAD2;LY86;HMGA2;SOD1;COQ3;POLA2;PRC1;ANP32E;CYCS;GCLM;RAN",3.2258064516129,2
"8","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Spleen-3d-dn","60/335",2.32069238238725e-06,0.00228472165046025,0,0,1.84358700578425,23.9180432956449,"MDC1;FEN1;POP7;NXT1;ELN;HMGB2;ATP5G3;MKI67;TUBA1B;STMN1;MYBL2;CD36;TMPO;RFC3;ANXA1;LIG1;PGAM1;ACTL6A;TIMM23;ATP1B3;PCOLCE;MRPS7;SDHB;CKAP5;CCNA2;SLC7A7;TYROBP;PSMA1;KIFC1;MCM4;DNAJC9;EEF1E1;C1QA;PRPS1;RAMP2;PCNA;TIMM13;CDCA8;PTTG1IP;TYMS;AIF1;USP18;PSMB7;RACGAP1;PRDX1;FLNA;NUP88;APOE;RRM1;CDKN2C;RARRES2;ATAD2;LY86;SOD1;COQ3;POLA2;PRC1;ANP32E;CYCS;GCLM",3.33333333333333,2
"9","Methotrexate-27 mg/kg in Corn Oil-Rat-Spleen-3d-dn","57/313",2.41515510794859e-06,0.00211352907002257,0,0,1.87450979102504,24.2444354724214,"MDC1;FEN1;POP7;NXT1;ELN;HMGB2;TMEM97;ATP5G3;MKI67;TUBA1B;STMN1;MYBL2;CD36;RFC3;ANXA1;LIG1;ACTL6A;TIMM23;PCOLCE;SDHB;CKAP5;CCNA2;SLC7A7;TYROBP;KIFC1;MCM4;DNAJC9;EEF1E1;C1QA;PRPS1;PCNA;SP140;CDCA8;TYMS;COX5A;USP18;AURKB;PSMB7;STIP1;RACGAP1;PRDX1;CCL5;HMOX1;FLNA;RRM1;CDKN2C;ATAD2;LY86;NKG7;GGH;SOD1;COQ3;POLA2;PRC1;ANP32E;CYCS;GCLM",7.01754385964912,4
"10","Vinorelbine-1.5 mg/kg in Saline-Rat-Bone marrow-1d-dn","59/328",2.43738080810867e-06,0.00191968112446639,0,0,1.8515496529129,23.93051371201,"MDC1;FEN1;NXT1;HP;HMGB2;CLTA;MKI67;KIF15;TUBA1B;STMN1;CD37;KNTC1;MYBL2;POLE;TMPO;SUPT16H;RFC3;ANXA1;LIG1;SDHB;CKAP5;CCNA2;PSMA1;MSH2;ESPL1;KIFC1;CCNE1;VDAC2;MCM4;MCM5;DNAJC9;DNMT1;CDCA4;MRPL18;CDCA8;AURKB;RACGAP1;USP1;PGK1;RBM10;BCAP31;RRM1;CDKN2C;ATAD2;NKG7;GGH;NUP153;LSM5;SOD1;BST1;POLA2;PRC1;TOLLIP;ANP32E;TACC3;LCN2;MXD3;RAN;CDKN3",5.08474576271186,3
