"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-NVP-TAE684-3.33","55/150",1.08116061647641e-53,3.58145265813976e-49,0,0,17.4603174603175,2129.44241748648,"LGALS3BP;CXCL6;IFITM1;TNFAIP3;UBE2L6;IFI35;IFIT1;LITAF;IFI44L;IFIT3;OASL;HERC5;TNFSF10;TRIM22;HERC6;HIST1H1C;RSAD2;DDX58;HLA-B;TAP1;HLA-F;TAPBP;PLSCR1;IFI27;OAS1;OAS2;IRF1;OAS3;IRF7;IRF9;BIRC3;C1S;HIST1H2BK;IFI6;DDX60;SNN;CCL2;GBP1;GCH1;MX1;IFI44;EIF2AK2;TDRD7;ISG15;NMI;H2BFS;SOD2;PARP12;PSMB8;PSMB9;BST2;CXCL10;BCL6;BAMBI;XAF1"
"LJP006 HA1E 24H-AZD-7762-0.37","45/110",1.37874178892021e-46,2.28361002498855e-42,0,0,19.4805194805195,2057.09888847293,"LGALS3BP;IFITM1;IFITM2;CD83;HIST1H2BK;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;OASL;HERC5;TNFSF10;JUNB;TRIM22;HERC6;HIST1H1C;RSAD2;GCH1;DDX58;MX1;HLA-B;TAP1;HLA-C;IFI44;ISG15;H2BFS;HLA-F;PSMB8;BST2;CXCL10;PLSCR1;IFI27;BCL6;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9;LY6E;BIRC3"
"LJP006 HA1E 24H-NVP-TAE684-1.11","44/111",7.94603951769982e-45,8.77401683544414e-41,0,0,18.8760188760189,1916.73995897858,"LGALS3BP;IFITM1;HIST1H2BK;IFI6;TNFAIP3;UBE2L6;CXCL1;IFI35;IFIT1;DDX60;CXCL3;LITAF;IFI44L;IFIT3;IFIT2;OASL;HERC5;SNN;TNFSF10;CCL2;GBP1;TRIM22;HERC6;RSAD2;DDX58;CCL20;MX1;IFI44;EIF2AK2;ISG15;L1CAM;SOD2;PARP12;BST2;CXCL10;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;CFB;IRF9"
"LJP006 HA1E 24H-saracatinib-1.11","38/83",8.70584020310272e-42,7.20974156419952e-38,0,0,21.8014916810098,2061.21287037773,"CXCL6;IFITM1;C1R;IFI6;CXCL1;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;HERC5;TNFSF10;CCL2;GBP1;HERC6;RSAD2;DDX58;MX1;TAP1;KAZN;IFI44;ISG15;NMI;HLA-F;L1CAM;SOD2;PARP12;PSMB8;PSMB9;ARL4C;QDPR;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7"
"LJP006 HA1E 24H-saracatinib-3.33","40/99",3.20799903255862e-41,2.12536351905074e-37,0,0,19.2400192400192,1793.94596294994,"LGALS3BP;IFITM1;C1S;C1R;IFI6;UBE2L6;GLRX;IFI35;IFIT1;DDX60;IFI44L;IFIT3;OASL;HERC5;IFI16;GPNMB;TNFSF10;CCL2;TRIM22;HERC6;RSAD2;GCH1;DDX58;MX1;KRT13;IFI44;EIF2AK2;ISG15;PSMB8;PSMB9;ARL4C;PLSCR1;CLEC2B;IFI27;BCL6;OAS1;OAS2;OAS3;XAF1;LY6E"
"LJP006 HA1E 24H-WZ-4-145-0.37","43/123",5.08737229521549e-41,2.80873824418847e-37,0,0,16.6473093302362,1544.52449734848,"LGALS3BP;IFITM1;IFITM2;C1S;IFI6;UBE2L6;DEFB1;IFI35;IFIT1;DDX60;IFI44L;IFIT3;HERC5;MUC1;GPNMB;TNFSF10;GBP1;TRIM22;HERC6;RSAD2;GADD45B;MX1;STAT3;HLA-B;TAP1;IFI44;ISG15;HLA-F;PARP12;PSMB8;PSMB9;BST2;CXCL10;PLSCR1;IFI27;OAS1;BAMBI;OAS2;OAS3;IRF7;XAF1;CFB;LY6E"
"LJP009 HT29 24H-chelerythrine chloride-10","39/94",9.20596522318889e-41,4.35652577119079e-37,0,0,19.7568389057751,1821.3066609193,"IFITM1;IFI6;IFIT1;DDX60;IFI44L;IFIT3;HERC5;CASP7;TNFSF10;PHGDH;TRIM22;HERC6;HIST1H1C;RSAD2;GCH1;DDX58;MX1;TAP1;ASNS;IFI44;ISG15;HLA-F;LYZ;PARP12;PSMB8;TAPBP;PSMB9;BST2;CXCL10;PLSCR1;OAS1;IFI27;OAS2;IRF7;XAF1;IRF9;LY6E;BIRC3;AARS"
"LJP006 HA1E 24H-WZ-4-145-1.11","39/117",2.44575107220016e-36,1.01272437522128e-32,0,0,15.8730158730159,1301.56684261964,"IFITM3;C1QB;IFITM1;IFITM2;C1S;C1R;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;HERC5;IFI16;GPNMB;TNFSF10;GBP1;TRIM22;RSAD2;GADD45B;MX1;ARID5B;IFI44;EIF2AK2;ISG15;PARP12;PSMB9;BST2;PLSCR1;IFI27;OAS1;LPAR6;BAMBI;OAS2;OAS3;APOC1;XAF1"
"LJP008 HA1E 24H-PD-0325901-0.37","36/106",5.98523988226718e-34,2.20296729266647e-30,0,0,16.1725067385445,1237.17407131555,"IFITM1;IFITM2;C1S;IFI6;TNFAIP3;IFI35;IFIT1;DDX60;IFI44L;IFIT3;HERC5;SCPEP1;TNFSF10;GBP1;HERC6;RSAD2;MX1;HLA-B;TAP1;HLA-C;IFI44;ISG15;HLA-F;SOD2;PSMB8;BST2;CXCL10;PLSCR1;IFI27;OAS1;BAMBI;OAS2;OAS3;IRF7;XAF1;IRF9"
"LJP006 HA1E 24H-WZ-4-145-10","42/165",1.35497434889132e-33,4.48848802813738e-30,0,0,12.1212121212121,917.351824792225,"IFITM3;C1QB;IFITM1;IFITM2;C1S;C1R;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;OASL;HERC5;GPNMB;TNFSF10;TRIM22;HERC6;WARS;RSAD2;DDX58;MX1;IFI44;ISG15;PARP12;PSMB9;BST2;CXCL10;PLSCR1;IFI27;BCL6;OAS1;OAS2;OAS3;APOC1;IRF7;LAP3;XAF1;CFB;IRF9"
