"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP009 MCF7 24H-ZM-447439-3.33","7/68",3.89408585631137e-05,0.0122834302520847,0,0,7.54147812971342,76.5721456252181,"CXCL10;IFITM1;WARS;IFI27;IFI6;GBP1;IFI44L"
"LJP009 PC3 24H-XMD-1499-3.33","6/47",4.10996242375835e-05,0.0128420816450283,0,0,9.35234977788169,94.4541648738999,"CXCL10;IFI16;CDC42EP3;TNFSF10;CASP1;IRF8"
"LJP006 SKBR3 24H-BI-2536-0.12","7/69",4.2837722123919e-05,0.0132600765837974,0,0,7.43218134522482,74.7535599071644,"CCL20;NAMPT;DNAJC12;FAS;GBP2;GBP1;CD200"
"LJP006 A549 24H-BMS-387032-0.12","8/94",4.3924587091009e-05,0.0134706134170491,0,0,6.23489985192113,62.5549766924094,"OAS1;IFI27;IFI6;IFI44;ISG15;NMI;IFIT1;IFI44L"
"LJP006 HEPG2 24H-geldanamycin-10","8/94",4.3924587091009e-05,0.0133470298077184,0,0,6.23489985192113,62.5549766924094,"PTPRE;MX1;IFI6;ISG15;IFIT1;USP18;IFI44L;CD200"
"LJP006 MDAMB231 24H-A443654-0.04","6/48",4.64380214837761e-05,0.013982488268765,0,0,9.15750915750916,91.3680586607204,"CD52;PHKB;IFIT1;TRIM22;MAP4K4;MAPK13"
"LJP005 HS578T 24H-SB590885-0.37","8/95",4.74042860102004e-05,0.0141448410535482,0,0,6.16926932716406,61.4261679503063,"IFITM1;IFI27;STAT1;MX1;IFI6;ISG15;GBP2;IRF9"
"LJP006 HS578T 24H-BI-2536-1.11","9/123",4.88922866758093e-05,0.0144585841695489,0,0,5.36049316537121,53.2076703865784,"CXCL10;WARS;IFIT5;TNFSF10;NMI;GBP2;GBP1;PSMB8;PSMB9"
"LJP006 SKBR3 3H-canertinib-0.04","5/30",4.92225007758791e-05,0.0144274198955566,0,0,12.2100122100122,121.113061125369,"PYCARD;CEACAM1;CCL20;FAS;IFI44L"
"LJP006 HS578T 24H-GSK-1059615-10","8/97",5.50555495608643e-05,0.0159955689210999,0,0,6.042067897738,59.2555742784025,"BST2;IFITM2;IFI27;BIN1;STAT1;GBP1;IFI44L;PSMB8"
"LJP008 HA1E 24H-(+)-JQ1-0.12","8/99",6.3708069022124e-05,0.0183484778615806,0,0,5.92000592000592,57.1943572348337,"CXCL10;CXCL11;CDC42EP3;GBP2;GBP1;PSMB8;MAPK13;PSMB9"
"LJP005 HS578T 3H-NVP-BEZ235-3.33","5/32",6.8022999026508e-05,0.0194223254375601,0,0,11.4468864468864,109.840484077311,"CXCL10;CXCL11;WARS;LYZ;GBP1"
"LJP007 HCC515 24H-GDC-0068-10","5/32",6.8022999026508e-05,0.0192563226560425,0,0,11.4468864468864,109.840484077311,"HERC5;WARS;FAS;IFIT1;GBP1"
"LJP005 BT20 24H-WZ-3105-0.12","7/75",7.35137158834909e-05,0.0206343032523483,0,0,6.83760683760684,65.0806055281733,"CXCL11;STAT1;TRIM14;EIF2AK2;NMI;IFI44L;MAPK13"
"LJP008 A375 24H-I-BET-1.11","7/75",7.35137158834909e-05,0.0204609057460261,0,0,6.83760683760684,65.0806055281733,"BST2;CXCL6;IFITM2;GBP2;CCNB1IP1;HS3ST1;PSMB8"
"LJP009 HT29 24H-sunitinib-0.37","6/52",7.36051999780492e-05,0.0203156485706081,0,0,8.4530853761623,80.4462796521513,"CXCL10;STAT1;FGG;MX1;IFI44L;ZFP36L2"
"LJP006 MCF10A 3H-WYE-125132-0.12","6/52",7.36051999780492e-05,0.0201477506485369,0,0,8.4530853761623,80.4462796521513,"CXCL10;CEACAM1;CXCL11;RSAD2;ALB;GBP1"
"CPC006 HT115 6H-tg101348-11.1","8/102",7.87855446520448e-05,0.0213889838067244,0,0,5.74588809882928,54.2916384194799,"ATRN;RFX5;CDC42EP2;PHKB;ATXN7L1;BAHCC1;HS3ST1;CNDP2"
"LJP006 HME1 24H-BI-2536-1.11","8/102",7.87855446520448e-05,0.021215089629434,0,0,5.74588809882928,54.2916384194799,"IFI16;TNFSF10;TRIM14;UBE2L6;NMI;GBP1;PSMB8;PSMB9"
"LJP005 HS578T 24H-neratinib-3.33","7/76",8.00391363690657e-05,0.0213788406103212,0,0,6.74763832658569,63.6504375053889,"CXCL10;CXCL11;IFI16;CCL20;GBP1;TUBA4A;DUOX2"
"LJP009 HCC515 24H-JNK-IN-5A-3.33","5/34",9.192125114219e-05,0.0243561900726438,0,0,10.7735401853049,100.135512963897,"IFITM1;IFITM2;CCL20;MX1;MAP4K4"
"LJP006 MDAMB231 3H-geldanamycin-3.33","5/34",9.192125114219e-05,0.0241628869768292,0,0,10.7735401853049,100.135512963897,"OAS1;DDX58;DNAJC12;IFIT1;IFIT3"
"CPC006 VCAP 6H-quinacrine dihydrochloride dihydrate-10.0","10/166",9.7745197277245e-05,0.0254914856615719,0,0,4.41325742530562,40.7482523192526,"CD53;RFX5;KIAA0753;CASP1;ARIH2;CDC42EP2;C1ORF35;ATXN7L1;SPATA7;HS3ST1"
"LJP005 HEPG2 24H-HG-5-113-01-10","9/136",0.000106635786861047,0.0275928429423808,0,0,4.8480930833872,44.34110241239,"IFITM2;LSM6;FGG;MX1;IFI44;IFI35;IFIT1;LTBP1;IFI44L"
"CPC004 VCAP 24H-triclosan-10.0","4/19",0.000111984620976289,0.0287522684601215,0,0,15.4231733179102,140.306905861718,"BIN1;AKTIP;ME2;PSMB10"
"LJP005 MCF7 24H-PHA-665752-10","4/19",0.000111984620976289,0.0285310971642744,0,0,15.4231733179102,140.306905861718,"BST2;IFITM1;IFITM2;IFI16"
"LJP006 HT29 24H-BI-2536-1.11","8/108",0.000117887933939917,0.0298058493131602,0,0,5.42667209333876,49.0884607089118,"CXCL10;IFITM1;CEACAM1;TRIM14;DNAJC12;CD58;CD200;PSMB8"
"LJP008 PC3 24H-(+)-JQ1-1.11","7/81",0.000120145406301036,0.0301464848643682,0,0,6.33111744222855,57.1497804972846,"TNFSF10;TRIM14;CD58;NMI;PSMB8;MAP4K4;MAPK13"
"LJP006 BT20 24H-BI-2536-0.37","7/81",0.000120145406301036,0.0299198195646361,0,0,6.33111744222855,57.1497804972846,"BST2;DENND1B;KRT4;TRIM14;TRIM22;ZFP36L2;PSMB8"
"CPC006 A549 6H-BRD-K53903639-80.0","5/36",0.000121795903542323,0.0301044934419798,0,0,10.1750101750102,91.7090337394334,"RFX5;C1ORF35;PHKB;HS3ST1;CNDP2"
"LJP008 HA1E 24H-(-)-JQ1-10","6/58",0.000136667888559908,0.0335302010147608,0,0,7.57862826828344,67.43430652741,"CD2;CXCL10;CXCL11;GBP2;GBP1;CTSS"
"LJP008 HCC515 24H-KU-55933-10","6/58",0.000136667888559908,0.033283655419064,0,0,7.57862826828344,67.43430652741,"PRKCB;MX1;IFI6;IFI44;ME2;IFI44L"
"LJP006 SKBR3 24H-HG-6-64-01-0.12","6/58",0.000136667888559908,0.0330407090291439,0,0,7.57862826828344,67.43430652741,"HERC5;CCL20;FAS;ISG15;GBP1;TUBA4A"
"LJP006 SKBR3 3H-GW-843682X-1.11","5/37",0.000139267958446388,0.0334253192152378,0,0,9.9000099000099,87.9032840507725,"IFITM1;WARS;LAMP3;FGG;IFIT1"
"LJP009 HEPG2 24H-AZD7762-10","6/59",0.000150417661471261,0.0358416069466881,0,0,7.45017694170237,65.5771631465659,"CXCL10;CXCL11;CDC42EP3;CASP1;GBP1;CD200"
"LJP005 BT20 3H-AS-601245-10","6/59",0.000150417661471261,0.0355855954684975,0,0,7.45017694170237,65.5771631465659,"STAT1;IFIT1;LYZ;GBP1;IRF9;ZFP36L2"
"LJP009 A375 24H-PF-3758309-0.37","6/59",0.000150417661471261,0.0353332153587919,0,0,7.45017694170237,65.5771631465659,"CXCL6;IFITM1;IFITM2;DNAJC12;CD58;CCNB1IP1"
"LJP006 HA1E 24H-BI-2536-3.33","9/143",0.000156329471966059,0.0364632988801961,0,0,4.61077384154307,40.4067230219101,"CXCL10;IFITM1;CXCL11;IFITM2;KRT4;GBP2;GBP1;PSMB8;PSMB9"
"LJP005 MDAMB231 24H-SB590885-10","5/38",0.000158594865966283,0.0367330108788061,0,0,9.63948332369385,84.3373589767117,"IFI44;CD58;IFI44L;HERC6;MAP4K4"
"LJP006 MCF7 3H-withaferin-a-3.33","5/38",0.000158594865966283,0.0364779205254811,0,0,9.63948332369385,84.3373589767117,"FNBP1;PRKD3;IFI44;ISG15;IFIT1"
"LJP008 HA1E 24H-pracinostat-10","11/211",0.00016038305397447,0.0366348077978512,0,0,3.81924552540666,33.3723593157176,"IFI16;BIN1;CDC42EP3;NMI;CD58;NBN;APOL1;GBP1;CD200;PSMB8;MAP4K4"
