"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CPC006 A673 6H-BRD-K49371609-0.09","9/68",1.2710204695992e-05,0.00339495717528992,0,0,6.25782227784731,70.5450899110084,"STK10;CDV3;CYLD;EED;HFE;CYBB;ARRB2;IKBKE;IGF1R"
"LJP006 MCF10A 3H-withaferin-a-3.33","9/68",1.2710204695992e-05,0.0033677975178876,0,0,6.25782227784731,70.5450899110084,"OAS1;DDX58;MX2;MX1;IFI44;ISG15;IGF1;IFIT1;IFIT3"
"CPC001 HCC515 24H-arp 101-10.0","15/190",1.34223998565888e-05,0.00352828020357204,0,0,3.73273609555804,41.8760194682301,"EED;HFE;UBE2L6;ICAM1;ATRN;HLA-DMA;TNIP1;CASP10;COBLL1;CCL5;ATXN7L1;ERG;CD69;IKBKE;CD44"
"LJP009 HEPG2 24H-KIN001-055-0.12","10/86",1.36072004905703e-05,0.00354869360195416,0,0,5.49782835779867,61.6026799576352,"CECR1;EVI2A;CHN2;DPYD;FGL2;CASP1;CYBB;CXCR4;IGF1;CTSS"
"CPC017 MCF7 24H-trichostatin a-10.0","17/239",1.43662021073509e-05,0.00371736703123101,0,0,3.3631067192894,37.5007660289292,"BTN3A1;EED;GPR65;UBE2L6;CRYZ;CYLD;HLA-DMA;CD4;BCL6;CASP10;COBLL1;RFX5;ZYX;CASP1;ATXN7L1;EVI2B;ASB1"
"LJP006 A549 24H-KIN001-043-0.12","8/53",1.44339808445889e-05,0.00370595255467929,0,0,7.13680360408582,79.5462802117384,"CX3CR1;CECR1;ISG20;SLC7A7;TNFSF10;PECAM1;IFIT1;IGF1R"
"CPC013 HEPG2 6H-BRD-K45044657-10.0","5/16",1.48923281509131e-05,0.00379422154374148,0,0,14.7754137115839,164.223764285081,"CD4;TLE1;EED;CLEC7A;RFX5"
"CPC006 HA1E 6H-wortmannin-10.0","7/39",1.54382737317752e-05,0.00390329056694754,0,0,8.48639146511487,94.017852666407,"HLA-DMA;TNIP1;EED;COBLL1;CFLAR;CORO1A;MYO1F"
"CPC003 VCAP 24H-geldanamycin-10.0","12/127",1.64666881083359e-05,0.00413176649118329,0,0,4.46752666554979,49.2061031789298,"ATRN;BTN2A2;TNIP1;EED;COBLL1;RFX5;ATXN7L1;ME2;CFLAR;IKBKE;UBE2J1;ETV6"
"CPC014 ASC 24H-hy-10459-10.0","12/127",1.64666881083359e-05,0.00410070057771575,0,0,4.46752666554979,49.2061031789298,"CYLD;CD4;APOBEC3G;HFE;GPR65;RFX5;GRB10;TIMP2;CYBB;ATXN7L1;CD69;AIF1"
"LJP008 A375 24H-I-BET151-0.12","8/54",1.66345308830202e-05,0.00411158430877994,0,0,7.00464057438053,77.079273965442,"BST2;TCF7L2;ITGAM;EVI2A;DPYD;FGL2;CD44;PSMB8"
"CPC004 HCC515 24H-mycophenolic acid-10.0","10/88",1.67065148600856e-05,0.00409878873096959,0,0,5.37287771330325,59.1001064003485,"TNIP1;CLEC7A;COBLL1;ZYX;PMAIP1;ARHGAP15;BAHCC1;ETV6;UBE2J1;ASB1"
"CPC014 PC3 24H-vorinostat-10.0","10/88",1.67065148600856e-05,0.00406865057853599,0,0,5.37287771330325,59.1001064003485,"ACVR1;CDV3;NUDT21;HLA-DMA;FAM125B;CASP10;EED;ELF4;RFX5;MYO1F"
"LJP009 HA1E 24H-JWE-035-0.04","7/40",1.8375295830481e-05,0.00444239542482746,0,0,8.274231678487,90.2263875811332,"ITGAM;TYROBP;ITGB2;LMO2;RFTN1;CD58;PLCB1"
"LJP005 SKBR3 24H-NVP-AUY922-0.04","10/89",1.8471446993592e-05,0.00443328112952725,0,0,5.31250830079422,57.9025389747357,"BST2;CD52;IFI16;CCL5;PRKCD;RFTN1;ISG15;CORO1A;IFI44L;RELB"
"LJP006 SKBR3 3H-PI-103-10","8/55",1.91102216113058e-05,0.00455359460423065,0,0,6.87728347302815,74.7236601120288,"BST2;STAT1;CCL5;IFI6;IRF8;IFI44;ISG15;GBP1"
"CPC013 MCF7 24H-vorinostat-10.0","17/245",1.97972474576341e-05,0.004683604521745,0,0,3.28074492208231,35.5303613649287,"BTN3A1;EED;HFE;UBE2L6;ARRB2;ARHGAP15;HLA-DMA;CD4;BCL6;CASP10;CCL5;RFX5;ZYX;EVI2B;CD44;MYO1F;ASB1"
