"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP008 PC3 24H-I-BET151-0.37","15/84",2.94264904725954e-08,1.17161288869615e-06,0,0,5.90318772136954,102.369365595092,"GRN;HIST1H2BK;THBS1;NR4A2;TOX3;RGS2;TFF1;HIST1H2BH;MAN2B1;TSPAN3;HIST1H2AC;HIST1H2BD;HIST1H1C;SF1;HIST1H2BC"
"LJP006 LNCAP 24H-radicicol-1.11","15/84",2.94264904725954e-08,1.17020639063049e-06,0,0,5.90318772136954,102.369365595092,"C1QA;ECM1;GSN;HSPB8;PRSS23;HOPX;ZNF91;KRT18;IFI27;CEACAM6;EPCAM;ZYX;QSOX1;HIST1H2AC;RAI14"
"LJP008 A375 24H-vorinostat-3.33","15/84",2.94264904725954e-08,1.16880326546187e-06,0,0,5.90318772136954,102.369365595092,"IFITM1;S100A2;MVP;AQP3;CNN3;GULP1;INPP4B;UPK1B;RGS2;IFI27;CEACAM6;GSTA1;S100P;CD24;HIST1H1C"
"LJP006 A375 24H-GDC-0941-10","18/123",3.20030675546437e-08,1.26962109678459e-06,0,0,4.8377343277565,83.4868812464831,"LGALS3BP;IFITM1;GRN;PROS1;MVP;SPATA20;TM4SF1;ASS1;HLA-E;NR4A2;PLCB4;KLF5;CEACAM6;PERP;LCN2;TGFBI;HIST1H2AC;HIST1H2BD"
"LJP006 MCF7 24H-ZSTK-474-10","18/123",3.20030675546437e-08,1.26810241126212e-06,0,0,4.8377343277565,83.4868812464831,"IFITM1;GRN;GADD45A;PTEN;SPATA20;ANK3;HSD17B11;RND3;HLA-E;ZNF91;ERBB3;CEACAM6;RFX5;AGR2;HES1;HIST1H2AC;HIST1H2BD;HIST1H1C"
"LJP006 MCF7 24H-mitoxantrone-1.11","18/123",3.20030675546437e-08,1.26658735461784e-06,0,0,4.8377343277565,83.4868812464831,"ABCA1;PRNP;ECM1;SERPINB2;S100A2;GADD45A;HSPB8;KRT5;PTN;RND3;SERPINB5;KRT17;PERP;RFX5;CLCA2;HES1;TP63;MT1E"
"LJP008 MCF7 24H-belinostat-3.33","21/166",3.2221417475854e-08,1.27370724976747e-06,0,0,4.18201732550035,72.1424522147818,"GRN;GSN;MVP;SIX1;CP;RND3;PBX1;GULP1;RHOB;TOX3;ZNF91;IFI27;CEACAM6;CEACAM5;AGR2;FLNA;MAN2B1;S100P;RPS11;CPVL;GRINA"
"LJP006 A549 24H-BMS-387032-0.37","21/166",3.2221417475854e-08,1.27218912432078e-06,0,0,4.18201732550035,72.1424522147818,"IFITM1;ECM1;SERPINB2;GADD45A;CYBRD1;VTCN1;RND3;AIF1;NR4A2;MT2A;ZNF91;KRT19;CCL8;MDM2;CCL2;MXRA7;FBP1;SYBU;MT1E;HIST1H1C;HBEGF"
"LJP009 HA1E 24H-saracatinib-1.11","11/42",3.2356798519155e-08,1.27601346160182e-06,0,0,8.65800865800866,149.319841410627,"ABCA1;INPP4B;CPT1A;SHC1;CD81;TRIM2;HIST1H2BK;AQP3;ASS1;HIST1H2BD;HIST1H1C"
"LJP007 HEPG2 24H-GDC-0068-10","11/42",3.2356798519155e-08,1.27449620421585e-06,0,0,8.65800865800866,149.319841410627,"GPX2;RAB40B;TSPAN8;ERBB3;CEACAM6;LCN2;ZBTB20;CYBA;TFF1;HSD17B11;TM4SF1"
"LJP007 MCF7 24H-GDC-0068-3.33","11/42",3.2356798519155e-08,1.27298255076666e-06,0,0,8.65800865800866,149.319841410627,"NR4A2;NT5E;TBC1D9B;ERBB3;DDAH1;CEACAM5;TFF3;TFF1;AQP3;HIST1H2AC;PBX1"
"LJP005 A549 24H-CGP-60474-3.33","25/229",3.25674081072845e-08,1.27974847089194e-06,0,0,3.60893572485474,62.2178851635523,"IFITM3;LGALS3BP;IFITM1;ECM1;TBC1D9B;PROS1;NDUFB2;PTN;COX7C;AIF1;WFDC2;CCL8;EPCAM;MCF2L;GSN;ATP6AP1;FMO2;DDOST;SLPI;LCN2;STT3A;TMBIM6;MXRA7;CPVL;C2CD2L"
