"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 BT20 3H-trametinib-10","14/44",2.30424476683686e-11,3.63423290106684e-08,0,0,10.5184072126221,257.634532458242,"TPD52;ZBTB20;RGS2;KRT19;CCND1;CEACAM6;CEACAM5;LCN2;TFF3;MAL;TFF1;CD24;SLC27A2;HBEGF"
"LJP008 HEPG2 24H-vorinostat-10","28/204",2.34694113195754e-11,3.53331987416208e-08,0,0,4.53735213093502,111.053159825258,"LGALS3BP;CFH;ADH1C;ITGB5;AK4;AQP3;CCND1;ERBB3;TSPAN6;COBLL1;AKT1;SPTBN1;MSMB;GPX2;SERPINB2;AUTS2;RBPMS;MUC16;SPINK5;CYBRD1;SORBS2;TM4SF1;HOPX;ZEB1;GAS2;S100P;TGFBI;SLC27A2"
"LJP006 A549 24H-BI-2536-1.11","21/115",3.26778226231568e-11,4.70574853522424e-08,0,0,6.03665109593963,145.750862804873,"ABCC3;GABRP;KRT4;RBPMS;HSD17B11;CP;TM4SF1;RGS2;UPK1B;ABLIM1;KRT18;ELF3;TSPAN6;RPL27A;ALOX5;MYO5C;CCL2;RPL38;S100P;RPS11;CD24"
"LJP006 A549 24H-BI-2536-10","28/208",3.75346951458331e-11,5.17994432468807e-08,0,0,4.45009535918627,106.827900729564,"FAM114A1;SPATA20;HSD17B11;AQP3;SLC4A4;PRSS23;WFDC2;EGFR;RGS2;UPK1B;ABLIM1;TSPAN6;MAP7;CCL2;RPL38;RPS11;ABCC3;MUC16;KRT7;EMP3;CP;TM4SF1;HOPX;ELF3;CEACAM6;CEACAM5;S100P;SLC27A2"
"LJP006 BT20 24H-canertinib-10","22/128",3.86058459612043e-11,5.1146568963242e-08,0,0,5.68181818181818,136.236462506551,"LGALS3BP;SERPINB2;S100A2;ITGB5;VTCN1;THBS1;TM4SF1;SCEL;UPK1B;NT5E;MARCKS;GPRC5A;CCND1;KRT17;NFIB;FLNA;TAGLN2;HES1;TGFBI;CD24;SLC16A3;SPTBN1"
"LJP008 MCF7 24H-belinostat-10","26/181",4.34044964330572e-11,5.5292320244588e-08,0,0,4.74864161453815,113.304764160404,"ADH1C;PRSS23;RAB25;PTPRZ1;TRIM29;EPCAM;ARHGDIA;TSPAN6;MSMB;GABRP;GPX2;AUTS2;GALNT3;SORBS2;KRT5;ANK3;TM4SF1;INPP4B;KRT19;KRT18;KRT17;ESRP1;KRT15;MYO5C;TFF1;SLC27A2"
"LJP006 MDAMB231 3H-AZD-7762-10","19/94",4.47346739098348e-11,5.48761901691718e-08,0,0,6.68190610163531,159.231641299198,"TPD52;GABRP;GPX2;S100A2;NEBL;ANK3;TM4SF1;SERPINB5;SMAD7;TOX3;KRT18;CCND1;IFI27;EPCAM;MAP7;EFHD1;HES1;CD24;HBEGF"
"LJP005 SKBR3 24H-TG-101348-10","20/107",6.19232511607471e-11,7.32485714891109e-08,0,0,6.17903761489148,145.239053879351,"S100A2;KRT8;TNFAIP2;KRT7;EMP2;SORBS2;ANK3;VTCN1;TMC5;PPL;TM4SF1;KRT19;KRT18;ELF3;RAB25;NFIB;MYO5C;MAL;TMEM109;CCL2"
"LJP009 HA1E 24H-XMD-892-10","21/119",6.41611749104814e-11,7.32786991106916e-08,0,0,5.83373845405931,136.915641265973,"EHF;SERPINB2;S100A2;TNFAIP2;AK4;KRT5;AQP3;SLC4A4;PRSS23;TM4SF1;HOPX;KLK11;MARCKS;CCL8;CCND1;KRT17;ARHGDIA;SDC1;TAGLN2;SLC16A3;MSMB"
"LJP006 SKBR3 24H-A443654-1.11","21/119",6.41611749104814e-11,7.08360758070018e-08,0,0,5.83373845405931,136.915641265973,"SPRR3;KRT4;ITGB5;PGD;AQP3;TM4SF1;TTC39A;GULP1;KRT19;CCND1;SLPI;ELF3;CEACAM5;KRT15;AKT1;SDC1;TAGLN2;CD24;FGFR2;NKX3-1;MSMB"
"LJP005 PC3 24H-pelitinib-10","16/65",6.62193752757886e-11,7.07500622099805e-08,0,0,8.13731722822632,190.72283193226,"ARID5B;WFDC2;TM4SF1;GPRC5A;KRT18;KRT17;CEACAM6;ALOX5;NT5DC2;TNFSF10;CLCA2;TAGLN2;HES1;S100A14;FBP1;SYBU"
"LJP008 MCF7 24H-CGP-60474-0.12","20/109",8.79681814719033e-11,9.10498168290909e-08,0,0,6.065660777921,140.444588314607,"PRNP;S100A2;PTEN;KRT7;EMP2;KRT5;AQP3;SERPINB5;TM9SF3;ISG20;MYO1D;MARCKS;KRT17;TRIM29;NFIB;CEACAM5;KRT15;TNFSF10;CD24;SPRR1B"
"LJP005 PC3 24H-LDN-193189-10","25/174",1.02381408618696e-10,1.02756807116964e-07,0,0,4.74969127006745,109.253899383797,"STEAP3;CFH;PSCA;ITGB5;PRSS23;TM9SF3;RGS2;UPK1B;NT5E;TSPAN8;TSPAN6;ALOX5;PERP;AGR2;SLC16A3;TPD52;NEBL;PBX1;PDIA4;KRT19;PFKL;SDC1;TFF1;S100P;FBP1"
"LJP006 LNCAP 3H-PI-103-3.33","18/88",1.18029166865562e-10,1.14977765757479e-07,0,0,6.7618332081142,154.576111274691,"SPAG16;SLC15A2;KRT4;KRT7;CP;WFDC2;ASS1;KRT19;SLPI;CEACAM6;CEACAM5;LCN2;BANF1;CD24;SLC16A3;SYBU;HBEGF;BIRC3"
"LJP008 MCF7 24H-(+)-JQ1-10","21/123",1.22430996533899e-10,1.15858201034264e-07,0,0,5.64402338238258,128.816218317096,"S100A2;MUC16;ANK3;PTN;SLC4A4;PRSS23;TM4SF1;CNN3;INPP4B;ABLIM1;DEPTOR;SYNGR2;MECOM;TSPAN6;NT5DC2;GAS2;TFF3;TMEM109;TAGLN2;TFF1;SLC27A2"
"LJP006 HA1E 24H-QL-X-138-10","28/219",1.28586995992124e-10,1.18303608173754e-07,0,0,4.22657458772029,96.2577655026093,"HSPB8;TNFAIP2;PLOD1;PRSS23;THBS1;WFDC2;CNN3;DEPTOR;CCND1;NT5DC2;STMN1;CCL2;TGFB2;KRT4;S100A2;MYO10;KRT7;EMP3;TM4SF1;RHOB;PDIA4;KRT19;MEIS1;GPRC5A;MAL;TAGLN2;TGFBI;CD24"
"LJP005 BT20 24H-LDN-193189-10","21/124",1.43288966792744e-10,1.28266861328175e-07,0,0,5.59850706478272,126.896644450654,"LGALS3BP;GABRP;ECM1;ITGB5;HLA-B;SLC2A1;KRT7;KRT5;ATP1A1;PBX1;HOPX;EGFR;SLPI;KRT17;ALOX5;CLCA2;FLNA;TAGLN2;CD24;SLC16A3;FGFR2"
"LJP009 HCC515 24H-XMD-892-3.33","15/59",1.59395215454374e-10,1.38929708712219e-07,0,0,8.40453845076341,189.603314464152,"LGALS3BP;TNFAIP2;KRT7;CXCL2;AQP3;TM4SF1;EGFR;HOPX;RGS2;ZNF91;KRT19;KRT18;TAGLN2;S100P;APOL1"
"LJP006 SKBR3 24H-CGP-60474-0.04","20/113",1.7329119202244e-10,1.47168655666032e-07,0,0,5.85094712206538,131.5061668721,"GABRP;GPX2;KRT4;SLC2A1;KRT7;KRT5;VTCN1;AQP3;TM4SF1;TM9SF3;KRT18;CCND1;CEACAM6;CEACAM5;KRT15;MAP7;CD24;FGFR2;NKX3-1;MSMB"
"LJP006 HME1 3H-alvocidib-3.33","26/194",2.08174430461431e-10,1.72373632782826e-07,0,0,4.4304336712959,98.76608405411,"PTGER4;CRCT1;CXCL1;CXCL2;RND3;THBS1;RGS2;HES1;SERPINB2;GADD45A;KRT7;ARID5B;TM4SF1;SERPINB5;RHOB;SMAD7;ISG20;NR4A2;MARCKS;GPRC5A;KRT15;CKS2;TFF1;CD24;HBEGF;SNRPB"
"LJP005 SKBR3 24H-dovitinib-10","21/127",2.27499955816643e-10,1.83781122843977e-07,0,0,5.46625886640203,121.372107114402,"GABRP;EHF;SLC15A2;NEBL;EMP2;KRT5;VTCN1;PTN;AQP3;KLK11;KRT19;ERBB3;KRT15;KIAA1324;CLCA2;TFF3;AGR2;SDC1;S100P;CD24;MSMB"
"LJP007 HEPG2 24H-vorinostat-10","26/195",2.33496086083237e-10,1.84133901599117e-07,0,0,4.40771349862259,97.7536343842038,"SPRR3;STEAP3;ADH1C;ITGB5;RHOBTB3;SLC2A1;AK4;AQP3;ERBB3;TSPAN6;COBLL1;AKT1;SPTBN1;SYBU;GPX2;SERPINB2;AUTS2;MUC16;SORBS2;TM4SF1;ZEB1;MYO5C;GAS2;DSG2;S100P;SLC27A2"
"LJP005 MDAMB231 3H-SB590885-10","21/128",2.64573173301355e-10,2.03789024951492e-07,0,0,5.42355371900826,119.605105464929,"PTGER4;NEBL;CXCL1;THBS1;TM4SF1;ISG20;ZEB2;NT5E;KRT19;CCND1;DDAH1;CEACAM6;EPCAM;MAP7;TFF3;TFF1;HES1;CD24;NKX3-1;BIRC3;HBEGF"
"LJP005 HA1E 24H-NVP-AUY922-10","24/169",3.10199885971206e-10,2.33502964164825e-07,0,0,4.69460609320749,102.782786754719,"TIMM8B;SERPINB2;S100A2;GADD45A;HIST1H2BK;AK4;CXCL1;THBS1;TM4SF1;HOPX;MT2A;MARCKS;TFF3;SDC1;CCL2;QSOX1;CEP170;TFF1;HES1;TGFBI;SPRR1A;SPRR1B;NKX3-1;HBEGF"
"LJP006 SKBR3 24H-BI-2536-1.11","22/142",3.1130481708926e-10,2.2912726326252e-07,0,0,5.12163892445583,112.113949113928,"IFITM3;LGALS3BP;IFITM1;S100A2;CRISP3;ZBTB20;SORBS2;VTCN1;PTN;AQP3;TM4SF1;WFDC2;EGFR;ZEB1;KRT18;MECOM;KRT17;COBLL1;PERP;CCL2;APOL1;NKX3-1"
"LJP009 HA1E 24H-GSK-1059615-10","21/130",3.56210142667517e-10,2.56479046419366e-07,0,0,5.34011443102352,116.176860950429,"LGALS3BP;GPX2;S100A2;KRT4;AUTS2;RBPMS;HSPB8;SLC2A1;AK4;CXCL1;EMP2;KRT5;AQP3;PRSS23;TOX3;PLCB4;TRIM29;TFF3;CCL2;S100P;SPRR1A"
"LJP006 HA1E 24H-WYE-125132-10","24/171",3.9705007335757e-10,2.7980203148247e-07,0,0,4.63969841960273,100.435360133766,"HSPB8;HIST1H2BK;SLC2A1;AK4;CXCL1;EMP2;AQP3;PRSS23;THBS1;TTC39A;CNN3;RHOB;C1ORF116;GPRC5A;GSTA1;MAL;EFHD1;CCL2;HIST1H2BH;SLC16A3;HIST1H2BD;FGFR2;MT1E;BIRC3"
"LJP009 HT29 24H-vorinostat-10","22/144",4.10390965973403e-10,2.83178316333439e-07,0,0,5.05050505050505,109.161165833584,"LGALS3BP;GPX2;CFH;AUTS2;ITGB5;SPINK5;TMPRSS4;SLC2A1;ANK3;TM4SF1;HOPX;KLK11;KLF5;TSPAN8;MECOM;ERBB3;PTPRZ1;EPCAM;MAL;TAGLN2;TFF1;SLC27A2"
"LJP008 MCF7 24H-pracinostat-10","21/131",4.12405326892705e-10,2.78760751673741e-07,0,0,5.29935019872563,114.513735004285,"GABRP;GPX2;AUTS2;RBPMS;MUC16;ADH1C;KRT5;ANK3;PRSS23;TM4SF1;INPP4B;KRT19;CCND1;MECOM;RAB25;ERBB3;TRIM29;KRT15;MYO5C;SDC1;TFF1"
"LJP006 HCC515 24H-CHIR-99021-10","17/84",4.62632416522981e-10,3.06456965353153e-07,0,0,6.69027941755215,143.801456512117,"IFITM1;CFH;KRT7;LSP1;KRT5;PRSS23;CP;TM4SF1;PBX1;MARCKS;TSPAN8;FCGRT;NFIB;STMN1;RPL37A;EFHD1;CD24"
