"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"177","LJP006 A549 24H-mitoxantrone-1.11-up","1/119",0.023590015375656,0.0378166400094538,0,0,56.1525423728814,210.399742949136,"TKTL1"
"178","LJP007 MCF7 24H-dinaciclib-3.33-up","1/121",0.0239828860314879,0.0378166400094538,0,0,55.2111111111111,205.96034518624,"TKTL1"
"179","LJP006 HCC515 24H-mitoxantrone-0.37-up","1/121",0.0239828860314879,0.0378166400094538,0,0,55.2111111111111,205.96034518624,"TKTL1"
"180","LJP006 SKBR3 24H-mitoxantrone-3.33-up","1/121",0.0239828860314879,0.0378166400094538,0,0,55.2111111111111,205.96034518624,"TKTL1"
"181","LJP006 HT29 24H-BMS-387032-10-up","1/122",0.0241792768997073,0.0378166400094538,0,0,54.7520661157025,203.801389436101,"TKTL1"
"182","LJP006 MCF7 24H-mitoxantrone-3.33-up","1/122",0.0241792768997073,0.0378166400094538,0,0,54.7520661157025,203.801389436101,"TKTL1"
"183","LJP006 MCF7 24H-mitoxantrone-1.11-up","1/123",0.0243756381306298,0.0378166400094538,0,0,54.3005464480874,201.681519393531,"TKTL1"
"184","LJP005 HCC515 24H-mitoxantrone-0.37-up","1/123",0.0243756381306298,0.0378166400094538,0,0,54.3005464480874,201.681519393531,"TKTL1"
"185","LJP006 SKBR3 24H-BI-2536-10-up","1/123",0.0243756381306298,0.0378166400094538,0,0,54.3005464480874,201.681519393531,"TKTL1"
"186","LJP005 BT20 24H-XMD16-144-10-up","1/124",0.024571969733762,0.0378166400094538,0,0,53.8563685636856,199.599722586936,"TKTL1"
"187","LJP006 SKBR3 24H-mitoxantrone-1.11-up","1/124",0.024571969733762,0.0378166400094538,0,0,53.8563685636856,199.599722586936,"TKTL1"
"188","LJP006 HME1 24H-mitoxantrone-1.11-up","1/125",0.0247682717047499,0.0378166400094538,0,0,53.4193548387097,197.555020647793,"TKTL1"
"189","LJP006 A549 24H-PHA-793887-10-up","1/125",0.0247682717047499,0.0378166400094538,0,0,53.4193548387097,197.555020647793,"TKTL1"
"190","LJP005 HCC515 24H-mitoxantrone-1.11-up","1/126",0.0249645440479294,0.0378166400094538,0,0,52.9893333333333,195.546467852838,"TKTL1"
"191","LJP007 A375 24H-mitoxantrone-10-up","1/127",0.0251607867675011,0.0378166400094538,0,0,52.5661375661376,193.573149805262,"TKTL1"
"192","LJP006 HCC515 24H-AZD-7762-1.11-up","1/128",0.0253569998656497,0.0378166400094538,0,0,52.1496062992126,191.634182164701,"TKTL1"
"193","CPC006 PL21 6H-ct-200783-10.0-up","1/130",0.0257493372130815,0.0378166400094538,0,0,51.3359173126615,187.855903772505,"MECP2"
"194","LJP006 MCF7 24H-BMS-387032-1.11-up","1/130",0.0257493372130815,0.0378166400094538,0,0,51.3359173126615,187.855903772505,"TKTL1"
"195","LJP005 MCF7 24H-mitoxantrone-3.33-up","1/131",0.0259454614657023,0.0378166400094538,0,0,50.9384615384615,186.014963975834,"TKTL1"
"196","LJP005 A549 24H-XMD16-144-10-up","1/133",0.0263376211480168,0.0378166400094538,0,0,50.1616161616162,182.425603692546,"TKTL1"
"197","LJP008 HT29 24H-pracinostat-10-up","1/136",0.0269256386533521,0.0378166400094538,0,0,49.0395061728395,177.261942516856,"TKTL1"
"198","LJP006 A549 24H-JNK-9L-10-up","1/137",0.0271215852941743,0.0378166400094538,0,0,48.6764705882353,175.596734572485,"TKTL1"
"199","LJP006 MDAMB231 24H-mitoxantrone-3.33-up","1/137",0.0271215852941743,0.0378166400094538,0,0,48.6764705882353,175.596734572485,"TKTL1"
"200","LJP009 HA1E 24H-vorinostat-10-up","1/138",0.0273175023451507,0.0378166400094538,0,0,48.3187347931873,173.958446014268,"TKTL1"
"201","LJP007 MCF7 24H-dinaciclib-10-up","1/140",0.027709247684466,0.0378166400094538,0,0,47.6187050359712,170.760155790359,"TKTL1"
"202","LJP005 HS578T 24H-WZ-3105-0.12-up","1/141",0.0279050759783193,0.0378166400094538,0,0,47.2761904761905,169.198964569418,"TKTL1"
"203","LJP005 HS578T 24H-mitoxantrone-3.33-up","1/141",0.0279050759783193,0.0378166400094538,0,0,47.2761904761905,169.198964569418,"TKTL1"
"204","LJP005 SKBR3 24H-XMD16-144-10-up","1/141",0.0279050759783193,0.0378166400094538,0,0,47.2761904761905,169.198964569418,"TKTL1"
"205","CPC008 A549 6H-BRD-K01896723-10.0-up","1/142",0.0281008746910155,0.0378166400094538,0,0,46.9385342789598,167.662312277144,"MECP2"
"206","LJP008 HEPG2 24H-CGP-60474-3.33-up","1/143",0.0282966438267282,0.0378166400094538,0,0,46.6056338028169,166.149647226295,"TKTL1"
"207","LJP007 MCF7 24H-CGP-60474-1.11-up","1/145",0.0286880933828552,0.0378166400094538,0,0,45.9537037037037,163.194152130267,"TKTL1"
"208","LJP005 HS578T 24H-XMD16-144-10-up","1/145",0.0286880933828552,0.0378166400094538,0,0,45.9537037037037,163.194152130267,"TKTL1"
"209","LJP005 A375 24H-mitoxantrone-0.12-up","1/145",0.0286880933828552,0.0378166400094538,0,0,45.9537037037037,163.194152130267,"TKTL1"
"210","LJP006 HEPG2 24H-A443654-10-up","1/146",0.0288837738092721,0.0378166400094538,0,0,45.6344827586207,161.75029703138,"TKTL1"
"211","LJP006 A549 24H-JNK-9L-3.33-up","1/147",0.0290794246689046,0.0378166400094538,0,0,45.3196347031963,160.328377984295,"TKTL1"
"212","LJP006 A549 24H-AZD-5438-10-up","1/148",0.0292750459631644,0.0378166400094538,0,0,45.0090702947846,158.927918365779,"TKTL1"
"213","LJP005 HEPG2 24H-mitoxantrone-10-up","1/148",0.0292750459631644,0.0378166400094538,0,0,45.0090702947846,158.927918365779,"TKTL1"
"214","LJP007 MCF7 24H-DCC-2036-10-up","1/150",0.0296661998874202,0.0378166400094538,0,0,44.4004474272931,156.189537724504,"TKTL1"
"215","LJP008 PC3 24H-vorinostat-10-up","1/152",0.0300572355940569,0.0378166400094538,0,0,43.8079470198675,153.531603085912,"TKTL1"
"216","LJP008 A549 24H-CGP-60474-10-up","1/153",0.0302527091247538,0.0378166400094538,0,0,43.5175438596491,152.231746414693,"TKTL1"
"217","LJP008 MCF7 24H-pracinostat-10-up","1/153",0.0302527091247538,0.0378166400094538,0,0,43.5175438596491,152.231746414693,"TKTL1"
"218","LJP006 HA1E 24H-BI-2536-10-up","1/153",0.0302527091247538,0.0378166400094538,0,0,43.5175438596491,152.231746414693,"TKTL1"
"219","LJP006 SKBR3 24H-NVP-TAE684-10-up","1/154",0.0304481531092773,0.0378166400094538,0,0,43.2309368191721,150.950756421057,"TKTL1"
"220","LJP005 HA1E 24H-mitoxantrone-0.37-up","1/155",0.0306435675571274,0.0378166400094538,0,0,42.9480519480519,149.688241534901,"TKTL1"
"221","LJP006 HCC515 24H-mitoxantrone-1.11-up","1/156",0.0308389524618799,0.0378166400094538,0,0,42.6688172043011,148.443820773422,"TKTL1"
"222","LJP006 A549 24H-BMS-387032-10-up","1/157",0.0310343078338452,0.0378166400094538,0,0,42.3931623931624,147.217123344794,"TKTL1"
"223","LJP006 BT20 24H-mitoxantrone-1.11-up","1/157",0.0310343078338452,0.0378166400094538,0,0,42.3931623931624,147.217123344794,"TKTL1"
"224","LJP005 A375 24H-PD-184352-0.04-up","1/157",0.0310343078338452,0.0378166400094538,0,0,42.3931623931624,147.217123344794,"TKTL1"
"225","LJP006 HT29 24H-BI-2536-10-up","1/159",0.0314249299830517,0.0378357199119833,0,0,41.8523206751055,144.815464437875,"TKTL1"
"226","LJP006 HME1 24H-BMS-387032-3.33-up","1/160",0.0316201967624613,0.0378357199119833,0,0,41.5870020964361,143.639809510221,"TKTL1"
"227","LJP006 HME1 24H-CGP-60474-0.04-up","1/161",0.0318154340238083,0.0378357199119833,0,0,41.325,142.480490393487,"TKTL1"
"228","LJP006 MCF7 24H-BI-2536-10-up","1/164",0.0324009686878587,0.0378357199119833,0,0,40.558282208589,139.097344570589,"TKTL1"
"229","LJP006 BT20 24H-mitoxantrone-0.37-up","1/165",0.0325960878820559,0.0378357199119833,0,0,40.3089430894309,138.000206187659,"TKTL1"
"230","LJP007 MCF7 24H-dinaciclib-0.12-up","1/166",0.032791177561367,0.0378357199119833,0,0,40.0626262626263,136.917862313068,"TKTL1"
"231","LJP006 A549 24H-BMS-387032-0.37-up","1/166",0.032791177561367,0.0378357199119833,0,0,40.0626262626263,136.917862313068,"TKTL1"
"232","LJP006 A549 24H-CGP-60474-0.37-up","1/167",0.0329862377434371,0.0378357199119833,0,0,39.8192771084337,135.85002776771,"TKTL1"
"233","LJP006 HT29 24H-mitoxantrone-3.33-up","1/167",0.0329862377434371,0.0378357199119833,0,0,39.8192771084337,135.85002776771,"TKTL1"
"234","LJP005 MCF7 24H-XMD16-144-10-up","1/168",0.0331812684196259,0.0378357199119833,0,0,39.5788423153693,134.796424551188,"TKTL1"
"235","CPC014 PC3 6H-s1122-10.0-up","1/169",0.0333762695921501,0.0378357199119833,0,0,39.3412698412698,133.756781575999,"MECP2"
"236","CPC003 HA1E 24H-dactinomycin-10.0-up","1/170",0.0335712412700661,0.0378357199119833,0,0,39.1065088757396,132.730834460871,"MECP2"
"237","LJP008 PC3 24H-pracinostat-10-up","1/172",0.0339610961468497,0.0378357199119833,0,0,38.64522417154,130.719002675201,"TKTL1"
"238","LJP006 HEPG2 24H-mitoxantrone-10-up","1/172",0.0339610961468497,0.0378357199119833,0,0,38.64522417154,130.719002675201,"TKTL1"
"239","LJP008 HT29 24H-belinostat-10-up","1/173",0.0341559793549834,0.0378357199119833,0,0,38.4186046511628,129.732621020821,"TKTL1"
"240","LJP007 A375 24H-PD-0325901-0.37-up","1/175",0.0345456573109413,0.0378357199119833,0,0,37.9731800766284,127.797728583412,"TKTL1"
"241","LJP005 A549 24H-mitoxantrone-10-up","1/175",0.0345456573109413,0.0378357199119833,0,0,37.9731800766284,127.797728583412,"TKTL1"
"242","LJP005 A549 24H-mitoxantrone-3.33-up","1/182",0.0359086017108702,0.0390763940942683,0,0,36.4917127071823,121.399841985978,"TKTL1"
"243","LJP006 A549 24H-mitoxantrone-10-up","1/183",0.0361031901957914,0.0390763940942683,0,0,36.2893772893773,120.530595891613,"TKTL1"
"244","LJP007 A375 24H-CGP-60474-1.11-up","1/185",0.0364922787962953,0.0392463216404271,0,0,35.8913043478261,118.8237111428,"TKTL1"
"245","LJP006 PC3 24H-QL-X-138-10-up","1/186",0.036686778924747,0.0392463216404271,0,0,35.6954954954955,117.985707535392,"TKTL1"
"246","LJP007 A375 24H-dinaciclib-0.04-up","1/188",0.0370756908391698,0.0394120625534734,0,0,35.3101604278075,116.339696156461,"TKTL1"
"247","LJP008 A549 24H-belinostat-10-up","1/189",0.037270102632089,0.0394120625534734,0,0,35.1205673758865,115.531347487824,"TKTL1"
"248","LJP007 A375 24H-CGP-60474-0.04-up","1/192",0.0378531613980021,0.0395307668383939,0,0,34.5636998254799,113.162962674115,"TKTL1"
"249","LJP005 HEPG2 24H-PF-431396-10-up","1/192",0.0378531613980021,0.0395307668383939,0,0,34.5636998254799,113.162962674115,"TKTL1"
"250","LJP007 MCF7 24H-vorinostat-10-up","1/193",0.0380474554559845,0.0395307668383939,0,0,34.3819444444444,112.391862642764,"TKTL1"
"251","LJP005 HEPG2 24H-mitoxantrone-3.33-up","1/194",0.0382417200936636,0.0395307668383939,0,0,34.2020725388601,111.629689202433,"TKTL1"
"252","LJP005 HT29 24H-mitoxantrone-3.33-up","1/196",0.0386301610922472,0.0397092158713602,0,0,33.8478632478632,110.131535006982,"TKTL1"
"253","LJP005 HT29 24H-XMD16-144-10-up","1/199",0.0392126019683507,0.0400839931232029,0,0,33.3299663299663,107.947665262739,"TKTL1"
"254","LJP009 MCF7 24H-vorinostat-10-up","1/202",0.0397947781709316,0.0404282152236225,0,0,32.8275290215589,105.836596231185,"TKTL1"
"255","LJP008 MCF7 24H-pracinostat-3.33-up","1/203",0.0399887781016267,0.0404282152236225,0,0,32.6633663366337,105.148485169899,"TKTL1"
"256","LJP008 A549 24H-pracinostat-10-up","1/209",0.0411521604585946,0.0413770356523574,0,0,31.7115384615385,101.174992800737,"TKTL1"
"257","LJP008 MCF7 24H-belinostat-10-up","1/213",0.0419271610801598,0.0419271610801598,0,0,31.1069182389937,98.665589775507,"TKTL1"
