"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"41","CPC013 HCC515 6H-BRD-K96167523-10.0-dn","1/64",0.0127395238270763,0.0219638473996242,0,0,105.465608465608,460.151301759579,"MECP2"
"42","LJP005 PC3 24H-PIK-93-10-dn","1/65",0.0129376087422444,0.0219638473996242,0,0,103.8125,451.336969340077,"TKTL1"
"43","CPC006 SW480 6H-BRD-K92317137-10.0-dn","1/65",0.0129376087422444,0.0219638473996242,0,0,103.8125,451.336969340077,"MECP2"
"44","LJP005 BT20 24H-geldanamycin-1.11-dn","1/67",0.0133336891739785,0.0221218024931916,0,0,100.656565656566,434.58083948016,"TKTL1"
"45","CPC005 A549 24H-triamcinolone-10.0-dn","1/70",0.013927586368182,0.0225936401083841,0,0,96.2657004830918,411.428415366268,"MECP2"
"46","LJP005 BT20 24H-geldanamycin-3.33-dn","1/73",0.0145212154854246,0.0226859960711911,0,0,92.2407407407407,390.376149318164,"TKTL1"
"47","CPC004 HCC515 6H-betamethasone 17,21-dipropionate-10.0-dn","1/75",0.0149168193344818,0.0226859960711911,0,0,89.7387387387387,377.375256874202,"MECP2"
"48","LJP007 HCC515 24H-BIX-02189-10-dn","1/75",0.0149168193344818,0.0226859960711911,0,0,89.7387387387387,377.375256874202,"TKTL1"
"49","LJP006 MCF10A 3H-HG-6-64-01-10-dn","1/79",0.015707669790035,0.0234012223402562,0,0,85.1196581196581,353.553536665299,"TKTL1"
"50","LJP006 BT20 24H-radicicol-1.11-dn","1/86",0.0170905124090214,0.023904408419078,0,0,78.0823529411765,317.735193554772,"TKTL1"
"51","LJP006 PC3 24H-PI-103-1.11-dn","1/86",0.0170905124090214,0.023904408419078,0,0,78.0823529411765,317.735193554772,"TKTL1"
"52","LJP005 BT20 24H-geldanamycin-0.04-dn","1/87",0.0172879423680493,0.023904408419078,0,0,77.1705426356589,313.138460190054,"TKTL1"
"53","LJP006 MCF10A 3H-geldanamycin-10-dn","1/88",0.0174853425891337,0.023904408419078,0,0,76.27969348659,308.657565540823,"TKTL1"
