Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,%protein,num_protein
Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn,76/293,5.47693332567522e-05,0.0392148426118346,0,0,1.53482642324858,15.0603003027113,PECR;VIPR1;ORM1;GMFG;ARPC1B;GRIK5;PRF1;HP;SLC4A1;PCSK7;CHD3;LSP1;YBX1;LTB4R;KHK;PYCARD;STK10;CAPN9;GRM7;ADORA3;CD37;BANF1;OSTF1;PGLYRP1;CCR5;GPSM3;CD97;ANXA1;SYK;TPM4;NCOA3;PGAM1;USP2;RHOG;HMHA1;IL16;F5;HCK;CEACAM1;SLC7A7;TYROBP;SLPI;PITPNM1;PADI3;NUMB;MYH9;VAMP2;RAPSN;RAI14;CHRNA1;RGS19;HPN;ATP1A3;PPM1F;PLD2;DPP4;GNA15;EFNB3;DEAF1;CHST10;FLNA;MGAT1;PIP5K1C;MBD3;SDF2L1;PKLR;TNFSF12;NKG7;DHRS1;P2RX7;BST1;HAL;FMNL1;SERPINI2;LCN2;SOLH,0,0
Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-3d-up,74/284,5.81588172481634e-05,0.0381715703872113,0,0,1.5417951495958,15.0360998108761,CLIC5;PECR;HIP1;CCNT2;DYRK2;RPL32;GMFG;ARPC1B;ITGB2;ECE1;CHD3;LSP1;RPL10A;FAIM3;RPL6;LOXL1;PYCARD;EEF1B2;STK10;TRIM28;CDH1;FTH1;ADORA3;SH3BGRL3;CD37;OSTF1;GPSM3;APOBEC1;CD97;SYK;TPM4;RPL23;IGFBP3;HMHA1;IL16;RPSA;GLTSCR2;RUNX1;PIAS1;HCK;PITPNM1;LCK;NINJ1;MYH9;TAGLN2;TLN1;RPL29;C1QB;POPDC2;LRP1;UNC93B1;FGL2;HTRA1;AIF1;STRN4;SLC9A3R1;GGA3;PLCG2;MAN1C1;FLNA;BTF3;VCAM1;ATP13A1;MYO9B;NAP1L1;EEF2;BST1;FMNL1;PTPRC;MGP;RPS20;PTPN6;PKN1;MXD4,1.35135135135135,1
Isoprenaline-4.2 mg/kg in Saline-Rat-Heart-5d-up,78/304,6.53219462868016e-05,0.0395750499196038,0,0,1.51821862348178,14.6298317218435,PECR;COL14A1;GBE1;PLOD2;LSP1;RPL10A;LOXL1;CTGF;WISP2;EEF1B2;RPS19;FTH1;SMPD1;ADORA3;SDF4;ENPP1;SH3BGRL3;GUSB;GYG1;NDEL1;HMGN1;TGM2;VKORC1;ANXA1;TPM4;ACTN2;RPS8;GPX3;RPL23;SSR2;PGAM1;MMP2;RHOG;BGN;RPSA;PCOLCE;MIF;PDGFRL;DKK3;EEF1G;TYROBP;SLPI;SPARCL1;SERPING1;MYH9;TAGLN2;TLN1;RPL29;RAI14;C1QB;POPDC2;C1QA;LRP1;UNC93B1;HTRA1;LTBP2;AIF1;C2;PDLIM3;SERPINH1;PRKCDBP;FLNA;CCL2;CD14;AOC3;HSPA8;TGFB3;RARRES2;NR0B2;GNB2L1;COL1A1;EHD1;COL5A1;CPD;MGP;RPS20;CALM2;FBN1,2.56410256410256,2
Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-3d-up,76/295,6.97143742131509e-05,0.0392193150930555,0,0,1.5244208203791,14.5903902599627,HIP1;GMFG;ARPC1B;ITGB2;ARRB2;RPL10A;PHB2;RPL6;STK10;RPS19;TRIM28;RASSF4;ADORA3;SLCO2B1;SOSTDC1;SH3BGRL3;CD37;BANF1;OSTF1;GUSB;RPS10;XYLB;TGM2;APOBEC1;PDIA3;CD97;TPM4;IGFBP5;RPS8;GPX3;RPL23;SSR2;PGAM1;RHOG;IL18;RPSA;GLTSCR2;SCAMP2;HCK;TYROBP;COL4A1;CTDSP1;SERPING1;MYH9;TAGLN2;SLC25A10;CYP2E1;TLN1;C1QB;POPDC2;C1QA;WBP2;UNC93B1;FGL2;AIF1;C2;SLC9A3R1;P2RY6;CCL5;UAP1L1;FLNA;TSPAN3;CD14;PKLR;VDR;PMM2;LY86;MYO9B;GNB2L1;CXCL11;HIST1H4B;MGP;LCN2;RPS20;PTPN6;SOLH,1.31578947368421,1
4-Octylphenol-450 mg/kg in Corn Oil-Rat-Liver-3d-up,74/287,8.37702963181795e-05,0.0439849902534654,0,0,1.52567882399027,14.3222063246939,PGCP;PECR;ORM1;SLC44A4;PLEKHB1;HP;C4BPA;C4BPB;PCSK7;RND2;RPL6;ASGR1;KHK;GYS2;EEF1B2;SMPD1;ADORA3;BANF1;RPS10;TGM2;SDS;USP2;RPSA;PCOLCE;TM4SF4;GLTSCR2;PDIA5;F5;DNAJC3;AZGP1;TYROBP;SLPI;EHHADH;NINJ1;SERPING1;RDH5;MYH9;SLC25A10;RPL29;SLC27A2;C1QB;POPDC2;C1QA;CEBPA;LRP1;SDC2;HPN;HTRA1;ABCB11;AIF1;PPM1F;C2;SLC9A3R1;CHST10;HSD17B2;STAP2;PIP5K1C;SLC38A4;NQO1;HSPA8;SDF2L1;PKLR;F10;SRD5A1;TNFSF12;RARRES2;NR0B2;FMO5;RAB11B;GJB1;PROC;AMACR;LCN2;KLKB1,2.7027027027027,2
Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-3d-up,74/287,8.37702963181795e-05,0.0412359283626238,0,0,1.52567882399027,14.3222063246939,CLIC5;PECR;VIPR1;ORM1;CCNT2;RPL32;GRIK5;SLC4A1;ECE1;PCSK7;CHD3;LSP1;FAIM3;RPL6;KHK;EEF1B2;STK10;CAPN9;TRIM28;FTH1;ADORA3;CD37;BANF1;APOBEC1;CD97;TPM4;NCOA3;RPS5;MMP2;USP2;MTUS1;HMHA1;IL16;AMPD2;RPSA;GLTSCR2;SLPI;LCK;GORASP1;MYH9;TLN1;RPL29;VAMP4;RAI14;ANAPC2;POPDC2;CHRNA1;HPN;ODC1;ATP1A3;PPM1F;PLD2;CHST10;PLCG2;MGAT1;PIP5K1C;BTF3;MBD3;VCAM1;PKLR;TNFSF12;DHRS1;EEF2;BST1;HAL;FMNL1;PTPRC;MGP;SERPINI2;RPS20;PTPN6;PKN1;SOLH;MXD4,1.35135135135135,1
Ketorolac-48 mg/kg in Water-Rat-Liver-5d-up,74/287,8.37702963181795e-05,0.0388102855177636,0,0,1.52567882399027,14.3222063246939,FKBP11;PIGR;PECR;ORM1;PLEKHB1;HP;C4BPA;ECE1;C4BPB;IL1RAP;PCSK6;RPL10A;RND2;PHB2;ASGR1;EEF1B2;RPS19;TRIM28;CDH1;FTH1;SMPD1;GMPPA;SDF4;CTSD;XYLB;HMGN1;TGM2;PDIA3;RPS8;RPL23;SSR2;RPSA;PCOLCE;LSR;TM4SF4;F5;PDIA4;DNAJC3;TYROBP;SLPI;COL4A1;PPAP2B;NINJ1;SERPING1;MYH9;SLC25A10;SLC27A2;C1QB;WBP2;HPN;PPAP2C;C2;CPN1;SLC9A3R1;CHST10;STAP2;PCK1;JAM2;NQO1;SDF2L1;PKLR;F10;SORBS1;FMO5;GNB2L1;RAB11B;PROC;FABP7;CPD;LCN2;RPS20;PLXNB1;KLKB1;PTPN3,4.05405405405405,3
Sulindac-23 mg/kg in Corn Oil-Rat-Liver-3d-up,74/287,8.37702963181795e-05,0.0366541585445545,0,0,1.52567882399027,14.3222063246939,VIPR1;ORM1;GRIK5;HP;C4BPA;SLC4A1;PCSK7;RND2;KHK;CAPN9;ACADL;GRM7;FTH1;BANF1;CCR5;SULT2A1;APOBEC1;PCYT1A;NCOA3;USP2;ACSL4;LSR;PDIA4;CEACAM3;DNAJC3;AZGP1;SLC7A7;SLPI;GORASP1;EHHADH;JTB;SERPING1;VAMP4;SLC27A2;RAI14;ANAPC2;CHRNA1;LRP1;SDC2;HPN;ODC1;ATP1A3;ABCB11;PPM1F;CLCN1;CPN1;PLD2;GNA15;CHST10;PRKCDBP;SLC17A5;FLNA;MGAT1;PIP5K1C;PCK1;MBD3;HSPA8;SDF2L1;FZD5;PKLR;F10;VDR;TNFSF12;DHRS1;MAPK14;PROC;AMACR;GSTA3;SYT11;SERPINI2;LCN2;KLKB1;SOLH;FOXA2,2.7027027027027,2
Indomethacin-10 mg/kg in Corn Oil-Rat-Liver-3d-up,79/311,8.4441282039407e-05,0.0350031335443352,0,0,1.50307273730474,14.0980018270538,FKBP11;PECR;ORM1;SLC44A4;GMFG;C4BPA;C4BPB;PCSK6;RPL10A;PHB2;SLC4A4;RPL6;ASGR1;GYS2;EEF1B2;RPS19;TRIM28;AKT2;FTH1;SMPD1;ADORA3;TRIM3;GMPPA;SDF4;CTSD;TGM2;PDIA3;ANXA1;RPS8;RPL23;SSR2;PGAM1;SSR3;RPSA;PCOLCE;LSR;TM4SF4;CYP7B1;PDIA5;F5;PDIA4;DNAJC3;HCK;TYROBP;SLPI;COL4A1;NINJ1;SERPING1;MYH9;TAGLN2;SLC25A10;SLC27A2;C1QB;C1QA;AIF1;C2;CPN1;CNN3;SLC9A3R1;STAP2;CD14;PCK1;SEC23B;JAM2;SLC38A4;MBD3;NQO1;HSPA8;SDF2L1;F10;RARRES2;SORBS1;FMO5;AGT;GNB2L1;PROC;FABP7;LCN2;RPS20,3.79746835443038,3
Famciclovir-112 mg/kg in Saline-Rat-Spleen-0.25d-up,81/321,8.80690337441046e-05,0.0346815854884284,0,0,1.49311508046231,13.9417971890633,CLIC5;ORM1;RPL32;ARPC1B;ITGB2;PRF1;ATP5C1;CHD3;LSP1;YBX1;RPL10A;FAIM3;RPL6;LOXL1;KHK;PYCARD;STK10;TRIM28;FTH1;CD37;TK1;OSTF1;RPS10;PTRF;GPSM3;CD97;RPL21;TPM4;RPS5;RHOG;TSC2;HMHA1;IL16;RPSA;GLTSCR2;PIAS1;EEF1G;HCK;SLC7A7;LCK;PADI3;MYH9;TLN1;RPL29;RAPGEF5;RAI14;C1QB;LRPAP1;C1QA;NOTCH1;LRP1;WBP2;UNC93B1;FGL2;ATP1A3;RASGRP2;AIF1;SLC9A3R1;GGA3;INPP5D;CCL5;PLCG2;FLNA;BTF3;MBD3;HSPA8;MARCKSL1;SDF2L1;VCAM1;PKLR;ATP13A1;RARRES2;LY86;NKG7;MYO9B;DHRS1;EEF2;GNB2L1;RAB11B;HAL;FMNL1,1.23456790123457,1
Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up,78/307,9.26119868120537e-05,0.0347339051491302,0,0,1.50338261087447,13.9620525845281,CDKN1C;HIP1;RPL32;GMFG;PLOD2;PARK7;PHB2;FAIM3;EEF1B2;STK10;GJA1;RPS19;FTH1;SMPD1;SLCO2B1;SDF4;SH3BGRL3;ACP2;TPSAB1;GUSB;RPS10;ADAMTS9;HMGN1;APOBEC1;PCYT1A;RPL21;IGFBP5;RPS8;GPX3;RPL23;SSR2;PGAM1;MMP2;RHOG;BGN;PCOLCE;MIF;EEF1G;TYROBP;COL4A1;PPAP2B;NINJ1;SERPING1;MYH9;TAGLN2;PPARG;TLN1;C1QB;C1QA;LRP1;ATP5A1;FGL2;HTRA1;AIF1;C2;CCL5;PRKCDBP;FLNA;CCL2;TSPAN3;CD14;BTF3;MBD3;HSPA8;VCAM1;CMA1;RARRES2;FMO1;ZFHX4;COL1A1;EHD2;COL5A1;MGP;RPS20;PTPN6;CDO1;FGFR2;MXD4,1.28205128205128,1
Carmustine-16 mg/kg in Corn Oil-Rat-Bone marrow-1d-up,76/298,9.92554531870007e-05,0.0355334522409462,0,0,1.50907430205314,13.9103657696817,PECR;VIPR1;ORM1;GRIK5;PRF1;PCSK7;LSP1;YBX1;RPL10A;FOXM1;RPL6;LTB4R;KHK;PYCARD;EEF1B2;CAPN9;ATP7B;GRM7;ADORA3;BANF1;PGLYRP1;CCR5;APOBEC1;PCYT1A;RPL21;GPX3;NCOA3;RPS5;MMP2;USP2;MIF;SLC7A7;SLPI;PITPNM1;GORASP1;PADI3;NUMB;RDH5;RPL29;VAMP2;RAPSN;RAI14;C1QB;POPDC2;CHRNA1;C1QA;HPN;PTAFR;ODC1;ATP1A3;AIF1;PPM1F;PLD2;GNA15;EFNB3;DEAF1;CHST10;PRKCDBP;MGAT1;PIP5K1C;LY6G6C;MBD3;PTPRN2;VCAM1;PKLR;TNFSF12;TRPV2;NKG7;RPL35A;DHRS1;P2RX7;HAL;RIT2;AMACR;SERPINI2;SOLH,1.31578947368421,1
Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-5d-up,77/303,0.000101575137432356,0.0347828601050973,0,0,1.50370066592458,13.8260942011247,FKBP11;RPL32;GMFG;ARPC1B;GBE1;ITGB2;HP;LSP1;YBX1;ARRB2;RPL6;LTB4R;STK10;CDH1;FTH1;SMPD1;SLCO2B1;SDF4;SH3BGRL3;OSTF1;UPP1;PGLYRP1;TPSAB1;GPSM3;CD97;MORC3;ANXA1;TPM4;VWF;RPS8;GPX3;SSR2;PGAM1;RPS5;RHOG;IL16;PCOLCE;SCAMP2;DNAJC3;HCK;CEACAM1;TYROBP;SLPI;MYH9;LCP2;RPL29;C1QB;POPDC2;C1QA;LRP1;HPN;ATP5A1;AIF1;C2;CHST12;ALOX5;CCL5;PRKCDBP;FLNA;XDH;CAMK2G;HSPA8;SDF2L1;VCAM1;PKLR;CMA1;YIPF5;FMO1;NKG7;RPL35A;MYO9B;FMNL1;PTPRC;LCN2;RPS20;CDO1;CALM2,0,0
Terbutaline-130 mg/kg in Corn Oil-Rat-Heart-1d-up,76/301,0.000139891014417619,0.0459075678980485,0,0,1.49403369439148,13.259021504832,CLIC5;CLIC4;HIP1;RPL32;HP;ILK;PLOD2;LSP1;RPL10A;RPL6;LOXL1;WISP2;HK1;EEF1B2;RPS19;FTH1;OSTF1;RPS10;PTRF;GYG1;HMGN1;TGM2;PDIA3;ANXA1;VWF;RPS8;GPX3;RPL23;SSR2;PGAM1;RPSA;PCOLCE;PDIA4;DNAJC3;EEF1G;TYROBP;SLPI;COL4A1;MMRN2;PKP2;SPARCL1;SERPING1;CDH13;MYH9;ITGA7;TAGLN2;TLN1;RPL29;ANAPC2;C1QB;C1QA;RAMP2;NDRG4;RTN1;LRP1;HTRA1;PDLIM3;BAG3;SERPINH1;PRKCDBP;FLNA;CCL2;CD14;JAM2;MBD3;AOC3;JUP;TGFB3;GNB2L1;P4HA2;CPD;LCN2;RPS20;CALM2;KCNK3;FBN1,3.94736842105263,3
Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up,80/321,0.00015020489342869,0.0473205496257747,0,0,1.47468156095043,12.9823742221921,PECR;ORM1;RPL32;ARPC1B;ITGB2;PRF1;HP;ILK;CHD3;LSP1;ARRB2;FAIM3;KHK;CTGF;STK10;GJA1;RPS19;FTH1;SMPD1;ADORA3;SLCO2B1;SH3BGRL3;CD37;OSTF1;ADAMTS9;GPSM3;APOBEC1;CD97;TPM4;VWF;RPL23;RHOG;HMHA1;ACSL4;IL16;PCOLCE;F5;HCK;SLC7A7;TYROBP;SLPI;PITPNM1;COL4A1;NINJ1;SERPING1;MYH9;TAGLN2;LCP2;TLN1;RAI14;ANAPC2;C1QB;POPDC2;C1QA;LRP1;WBP2;UNC93B1;FGL2;AIF1;CLCN1;C2;PLD2;PRKCDBP;FLNA;TSPAN3;VCAM1;LY86;DHRS1;EEF2;ZFHX4;COL1A1;EHD2;XAB2;FMNL1;PTPRC;TOLLIP;MGP;PTPN6;PKN1;MXD4,0,0
