"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"betaxolol-4608","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"ifosfamide-5805","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;SELL"
"mercaptopurine-334","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"DDAH1;CORO1A"
"moxisylyte-1682","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"scopolamine N-oxide-2099","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"solasodine-3749","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"SELL;CORO1A"
"skimmianine-5766","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"nimesulide-2112","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"lasalocid-3021","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"CD37;PLS1"
"flunisolide-3747","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"fenbendazole-4542","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"colistin-4212","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"SELL;CORO1A"
"phenformin-3725","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"oxaprozin-4530","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"tenoxicam-4102","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;SELL"
"levamisole-2094","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"PLAC8;CORO1A"
"thioridazine-417","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"DDAH1;CORO1A"
"Prestwick-559-2877","2/100",0.00216576516004231,0.0590772607544876,0,0,33.8231292517007,207.504274169846,"CORO1A;SORL1"
