"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"571","CPC016 MCF7 24H-ntncb hydrochloride-10.0","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"FRAT2;DUSP3;ANXA3;ERG;ACTB",20,1,0,0,0,0
"572","LJP009 PC3 24H-dabrafenib-3.33","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"CXCL9;MKNK1;PECAM1;GBP1;MMP9",0,0,0,0,20,1
"573","LJP009 HCC515 24H-AZD7762-10","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"GNLY;CCL5;PRF1;GZMB;CD24",0,0,0,0,0,0
"574","LJP005 HA1E 24H-PD-0325901-1.11","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"CCND2;EVI2A;PGAM1;MMP9;F5",0,0,0,0,20,1
"575","LJP008 HEPG2 24H-I-BET151-0.12","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"CEACAM1;SERPINA1;CEACAM6;IL1R2;S100P",0,0,0,0,40,2
"576","LJP005 MCF7 24H-linsitinib-0.37","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"GLIPR1;SERPINA1;TCN1;GBP1;S100A9",0,0,0,0,20,1
"577","LJP006 PC3 24H-JW-7-24-1-1.11","5/39",0.0010614529611233,0.0455166541177653,0,0,7.22842151936151,49.5010733363269,"NCF2;TCN1;S100P;RPS11;S100A9",20,1,0,0,40,2
"578","LJP008 HCC515 24H-pracinostat-0.04","4/23",0.00106150126518533,0.0455166541177653,0,0,10.3300356153542,70.7408182038788,"CEACAM1;ANXA3;CEACAM6;HOPX",25,1,0,0,0,0
"579","LJP006 BT20 3H-GDC-0941-3.33","4/23",0.00106150126518533,0.0455166541177653,0,0,10.3300356153542,70.7408182038788,"NELL2;CEACAM6;MALL;S100P",0,0,0,0,25,1
"580","LJP006 SKBR3 3H-nintedanib-0.12","4/23",0.00106150126518533,0.0455166541177653,0,0,10.3300356153542,70.7408182038788,"HP;LRMP;CD24;S100A9",0,0,0,0,25,1
"581","LJP007 HEPG2 24H-everolimus-0.37","4/23",0.00106150126518533,0.0455166541177653,0,0,10.3300356153542,70.7408182038788,"ARG1;DEFA4;S100P;CD24",0,0,0,0,50,2
"582","CPC018 NPC 24H-BRD-K31491153-10.0","7/79",0.00106708648076957,0.0455166541177653,0,0,4.79359567901235,32.8017280092418,"FGA;COX7B;HAX1;PTPRC;CYBB;CD27;COX7A2",14.2857142857143,1,0,0,0,0
