"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"mexiletine-3973","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"SLCO2B1;LAIR1"
"doxazosin-6642","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"ADORA3;LAIR1"
"dexamethasone-2242","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"C3AR1;TREM2"
"moroxydine-6705","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"FCGR1B;LAIR1"
"ketoprofen-2316","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"SLCO2B1;C3AR1"
"azathioprine-5627","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"ADORA3;TREM2"
"letrozole-2916","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"CCL8;ADORA3"
"phenylpropanolamine-3217","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"FCGR1B;LAIR1"
"prasterone-6474","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"FPR3;LAIR1"
"benzamil-6056","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"FCGR1B;LAIR1"
"halcinonide-6040","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"SLCO2B1;SLAMF8"
"propidium iodide-6104","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"SLAMF8;TREM2"
"clofazimine-5277","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"TREM2;LAIR1"
"hexamethonium bromide-1982","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"CD37;LAIR1"
"vitexin-2810","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"C3AR1;TREM2"
"propranolol-3396","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"SLCO2B1;C3AR1"
"spiramycin-3938","2/100",0.0013218400851343,0.030402321958089,0,0,45.1043083900227,298.984305122014,"SLCO2B1;TREM2"
