"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"S(-)-Carbidopa-1200 mg/kg in CMC-Rat-Brain-3d-up","3/306",0.0474274158598219,0.632001811438666,0,0,3.88990099009901,11.8585764275451,"RTN1;CACNA2D3;CAMK1"
"Digoxin-11 mg/kg in Corn Oil-Rat-Liver-0.25d-up","3/306",0.0474274158598219,0.632001811438666,0,0,3.88990099009901,11.8585764275451,"VNN1;CAMK1;TLR4"
